--- Parsing VGM from 5.00s to 15.00s ---
Sample range: 220500 to 661500

Time (s)     Samples      Command             
5.1000       224910       YM2151: reg 0x27, val 0xFC
5.1000       224910       YM2151: reg 0x7F, val 0x40
5.1000       224910       WAIT: 882 samples (1/50s)
5.1200       225792       YM2151: reg 0x2C, val 0x4E
5.1200       225792       YM2151: reg 0x34, val 0xEC
5.1200       225792       YM2151: reg 0x74, val 0x18
5.1200       225792       YM2151: reg 0x2D, val 0x2E
5.1200       225792       YM2151: reg 0x35, val 0x60
5.1200       225792       YM2151: reg 0x75, val 0x08
5.1200       225792       YM2151: reg 0x2E, val 0x56
5.1200       225792       YM2151: reg 0x36, val 0xE8
5.1200       225792       YM2151: reg 0x76, val 0x08
5.1200       225792       YM2151: reg 0x74, val 0x18
5.1200       225792       YM2151: reg 0x75, val 0x08
5.1200       225792       YM2151: reg 0x76, val 0x08
5.1200       225792       YM2151: reg 0x0F, val 0x96
5.1200       225792       YM2151: reg 0x27, val 0xFC
5.1200       225792       YM2151: reg 0x7F, val 0x7F
5.1200       225792       YM2151: reg 0x74, val 0x00
5.1200       225792       YM2151: reg 0x2C, val 0x4E
5.1200       225792       YM2151: reg 0x34, val 0xEC
5.1200       225792       YM2151: reg 0x0F, val 0x96
5.1200       225792       YM2151: reg 0x27, val 0xFC
5.1200       225792       YM2151: reg 0x7F, val 0x7F
5.1200       225792       YM2151: reg 0x75, val 0x00
5.1200       225792       YM2151: reg 0x2D, val 0x2E
5.1200       225792       YM2151: reg 0x35, val 0x60
5.1200       225792       YM2151: reg 0x0F, val 0x96
5.1200       225792       YM2151: reg 0x27, val 0xFC
5.1200       225792       YM2151: reg 0x7F, val 0x7F
5.1200       225792       YM2151: reg 0x76, val 0x04
5.1200       225792       YM2151: reg 0x2E, val 0x56
5.1200       225792       YM2151: reg 0x36, val 0xE8
5.1200       225792       YM2151: reg 0x0F, val 0x96
5.1200       225792       YM2151: reg 0x27, val 0xFC
5.1200       225792       YM2151: reg 0x7F, val 0x7F
5.1200       225792       WAIT: 882 samples (1/50s)
5.1400       226674       YM2151: reg 0x2D, val 0x32
5.1400       226674       YM2151: reg 0x35, val 0xB0
5.1400       226674       YM2151: reg 0x75, val 0x00
5.1400       226674       YM2151: reg 0x2D, val 0x25
5.1400       226674       YM2151: reg 0x35, val 0x18
5.1400       226674       YM2151: reg 0x75, val 0x00
