--- Parsing VGM: console_player/music/if-fmt_version_1/03_Scenario_Intro.vgm ---
VGM Version: 0x171
Data Start Offset: 0x100

Time (s)  | Offset(h) | Command
14.2299   | 0000670F  | 52: YM2612 P0 (reg: 0x61, val: 0x00)
14.2299   | 00006712  | 61: WAIT
14.2299   | 00006715  | 52: YM2612 P0 (reg: 0x65, val: 0x00)
14.2299   | 00006718  | 52: YM2612 P0 (reg: 0x69, val: 0x0F)
14.2299   | 0000671B  | 61: WAIT
14.2299   | 0000671E  | 52: YM2612 P0 (reg: 0x6D, val: 0x15)
14.2299   | 00006721  | 52: YM2612 P0 (reg: 0x71, val: 0x00)
14.2299   | 00006724  | 61: WAIT
14.2299   | 00006727  | 52: YM2612 P0 (reg: 0x75, val: 0x1B)
14.2299   | 0000672A  | 52: YM2612 P0 (reg: 0x79, val: 0x15)
14.2299   | 0000672D  | 61: WAIT
14.2300   | 00006730  | 52: YM2612 P0 (reg: 0x7D, val: 0x10)
14.2300   | 00006733  | 52: YM2612 P0 (reg: 0x81, val: 0x0F)
14.2300   | 00006736  | 52: YM2612 P0 (reg: 0x85, val: 0x0F)
14.2300   | 00006739  | 61: WAIT
14.2300   | 0000673C  | 52: YM2612 P0 (reg: 0x89, val: 0xAF)
14.2300   | 0000673F  | 52: YM2612 P0 (reg: 0x8D, val: 0x1F)
14.2300   | 00006742  | 61: WAIT
14.2300   | 00006745  | 52: YM2612 P0 (reg: 0x41, val: 0x07)
14.2300   | 00006748  | 52: YM2612 P0 (reg: 0x45, val: 0x06)
14.2300   | 0000674B  | 61: WAIT
14.2300   | 0000674E  | 52: YM2612 P0 (reg: 0x49, val: 0x1E)
14.2300   | 00006751  | 52: YM2612 P0 (reg: 0x4D, val: 0x1E)
14.2300   | 00006754  | 61: WAIT
14.2300   | 00006757  | 52: YM2612 P0 (reg: 0xA5, val: 0x12)
14.2300   | 0000675A  | 52: YM2612 P0 (reg: 0xA1, val: 0xDF)
14.2300   | 0000675D  | 61: WAIT
14.2301   | 00006760  | 52: YM2612 P0 (reg: 0x28, val: 0x01)
14.2301   | 00006763  | 52: YM2612 P0 (reg: 0x28, val: 0xF1)
14.2301   | 00006766  | 61: WAIT
14.2301   | 00006769  | 52: YM2612 P0 (reg: 0x49, val: 0x1A)
14.2301   | 0000676C  | 52: YM2612 P0 (reg: 0x4D, val: 0x1A)
14.2301   | 0000676F  | 61: WAIT
14.2301   | 00006772  | 52: YM2612 P0 (reg: 0x28, val: 0x02)
14.2301   | 00006775  | 53: YM2612 P1 (reg: 0xA4, val: 0x23)
14.2301   | 00006778  | 61: WAIT
14.2301   | 0000677B  | 53: YM2612 P1 (reg: 0xA0, val: 0x6E)
14.2301   | 0000677E  | 52: YM2612 P0 (reg: 0x28, val: 0x04)
14.2301   | 00006781  | 61: WAIT
14.2302   | 00006784  | 52: YM2612 P0 (reg: 0x28, val: 0xF4)
14.2302   | 00006787  | 53: YM2612 P1 (reg: 0x44, val: 0x2C)
14.2302   | 0000678A  | 61: WAIT
14.2302   | 0000678D  | 53: YM2612 P1 (reg: 0x48, val: 0x2C)
14.2302   | 00006790  | 53: YM2612 P1 (reg: 0x4C, val: 0x2C)
14.2302   | 00006793  | 61: WAIT
14.2302   | 00006796  | 52: YM2612 P0 (reg: 0x28, val: 0x05)
14.2302   | 00006799  | 52: YM2612 P0 (reg: 0x28, val: 0x06)
14.2302   | 0000679C  | 61: WAIT
14.2542   | 0000679F  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.2542   | 000067A2  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.2542   | 000067A5  | 61: WAIT
14.2790   | 000067A8  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.2790   | 000067AB  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.2790   | 000067AE  | 61: WAIT
14.3038   | 000067B1  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.3038   | 000067B4  | 61: WAIT
14.3038   | 000067B7  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.3038   | 000067BA  | 61: WAIT
14.3286   | 000067BD  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.3286   | 000067C0  | 61: WAIT
14.3286   | 000067C3  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.3286   | 000067C6  | 61: WAIT
14.3533   | 000067C9  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.3533   | 000067CC  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.3533   | 000067CF  | 61: WAIT
14.3781   | 000067D2  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.3781   | 000067D5  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.3781   | 000067D8  | 61: WAIT
14.4028   | 000067DB  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.4028   | 000067DE  | 61: WAIT
14.4029   | 000067E1  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.4029   | 000067E4  | 61: WAIT
14.4276   | 000067E7  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.4276   | 000067EA  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.4276   | 000067ED  | 61: WAIT
14.4276   | 000067F0  | 52: YM2612 P0 (reg: 0xA6, val: 0x1B)
14.4276   | 000067F3  | 61: WAIT
14.4277   | 000067F6  | 52: YM2612 P0 (reg: 0xA2, val: 0x6A)
14.4277   | 000067F9  | 52: YM2612 P0 (reg: 0x28, val: 0x02)
14.4277   | 000067FC  | 52: YM2612 P0 (reg: 0x28, val: 0xF2)
14.4277   | 000067FF  | 61: WAIT
14.4277   | 00006802  | 52: YM2612 P0 (reg: 0x4E, val: 0x1C)
14.4277   | 00006805  | 61: WAIT
14.4277   | 00006808  | 53: YM2612 P1 (reg: 0xA5, val: 0x1B)
14.4277   | 0000680B  | 53: YM2612 P1 (reg: 0xA1, val: 0xD5)
14.4277   | 0000680E  | 61: WAIT
14.4277   | 00006811  | 52: YM2612 P0 (reg: 0x28, val: 0x05)
14.4277   | 00006814  | 52: YM2612 P0 (reg: 0x28, val: 0xF5)
14.4277   | 00006817  | 53: YM2612 P1 (reg: 0x41, val: 0x22)
14.4277   | 0000681A  | 61: WAIT
14.4278   | 0000681D  | 53: YM2612 P1 (reg: 0x45, val: 0x22)
14.4278   | 00006820  | 53: YM2612 P1 (reg: 0x49, val: 0x22)
14.4278   | 00006823  | 61: WAIT
14.4278   | 00006826  | 53: YM2612 P1 (reg: 0x4D, val: 0x22)
14.4278   | 00006829  | 53: YM2612 P1 (reg: 0xA6, val: 0x1B)
14.4278   | 0000682C  | 61: WAIT
14.4278   | 0000682F  | 53: YM2612 P1 (reg: 0xA2, val: 0x0B)
14.4278   | 00006832  | 61: WAIT
14.4279   | 00006835  | 52: YM2612 P0 (reg: 0x28, val: 0x06)
14.4279   | 00006838  | 61: WAIT
14.4279   | 0000683B  | 52: YM2612 P0 (reg: 0x28, val: 0xF6)
14.4279   | 0000683E  | 53: YM2612 P1 (reg: 0x42, val: 0x22)
14.4279   | 00006841  | 61: WAIT
14.4279   | 00006844  | 53: YM2612 P1 (reg: 0x46, val: 0x22)
14.4279   | 00006847  | 53: YM2612 P1 (reg: 0x4A, val: 0x22)
14.4279   | 0000684A  | 61: WAIT
14.4279   | 0000684D  | 53: YM2612 P1 (reg: 0x4E, val: 0x22)
14.4279   | 00006850  | 61: WAIT
14.4524   | 00006853  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.4524   | 00006856  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.4524   | 00006859  | 61: WAIT
14.4772   | 0000685C  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.4772   | 0000685F  | 61: WAIT
14.4772   | 00006862  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.4772   | 00006865  | 52: YM2612 P0 (reg: 0x28, val: 0x01)
14.4772   | 00006868  | 61: WAIT
14.4772   | 0000686B  | 52: YM2612 P0 (reg: 0x28, val: 0x02)
14.4772   | 0000686E  | 52: YM2612 P0 (reg: 0x28, val: 0x04)
14.4772   | 00006871  | 61: WAIT
14.4772   | 00006874  | 52: YM2612 P0 (reg: 0x28, val: 0x05)
14.4772   | 00006877  | 52: YM2612 P0 (reg: 0x28, val: 0x06)
14.4772   | 0000687A  | 61: WAIT
14.5020   | 0000687D  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.5020   | 00006880  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.5020   | 00006883  | 61: WAIT
14.5271   | 00006886  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.5271   | 00006889  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.5271   | 0000688C  | 61: WAIT
14.5271   | 0000688F  | 52: YM2612 P0 (reg: 0x44, val: 0x22)
14.5271   | 00006892  | 61: WAIT
14.5272   | 00006895  | 52: YM2612 P0 (reg: 0x48, val: 0x22)
14.5272   | 00006898  | 52: YM2612 P0 (reg: 0x4C, val: 0x22)
14.5272   | 0000689B  | 61: WAIT
14.5272   | 0000689E  | 52: YM2612 P0 (reg: 0xA4, val: 0x23)
14.5272   | 000068A1  | 52: YM2612 P0 (reg: 0xA0, val: 0x0B)
14.5272   | 000068A4  | 61: WAIT
14.5272   | 000068A7  | 52: YM2612 P0 (reg: 0xB1, val: 0x2D)
14.5272   | 000068AA  | 52: YM2612 P0 (reg: 0x31, val: 0x31)
14.5272   | 000068AD  | 52: YM2612 P0 (reg: 0x35, val: 0x30)
14.5272   | 000068B0  | 61: WAIT
14.5272   | 000068B3  | 52: YM2612 P0 (reg: 0x39, val: 0x30)
14.5272   | 000068B6  | 52: YM2612 P0 (reg: 0x3D, val: 0x70)
14.5272   | 000068B9  | 61: WAIT
14.5273   | 000068BC  | 52: YM2612 P0 (reg: 0x51, val: 0x1F)
14.5273   | 000068BF  | 52: YM2612 P0 (reg: 0x55, val: 0x1F)
14.5273   | 000068C2  | 61: WAIT
14.5273   | 000068C5  | 52: YM2612 P0 (reg: 0x59, val: 0x1F)
14.5273   | 000068C8  | 52: YM2612 P0 (reg: 0x5D, val: 0x1F)
14.5273   | 000068CB  | 61: WAIT
14.5273   | 000068CE  | 52: YM2612 P0 (reg: 0x61, val: 0x14)
14.5273   | 000068D1  | 52: YM2612 P0 (reg: 0x65, val: 0x01)
14.5273   | 000068D4  | 61: WAIT
14.5273   | 000068D7  | 52: YM2612 P0 (reg: 0x69, val: 0x01)
14.5273   | 000068DA  | 52: YM2612 P0 (reg: 0x6D, val: 0x01)
14.5273   | 000068DD  | 52: YM2612 P0 (reg: 0x71, val: 0x00)
14.5273   | 000068E0  | 61: WAIT
14.5273   | 000068E3  | 52: YM2612 P0 (reg: 0x75, val: 0x0F)
14.5273   | 000068E6  | 52: YM2612 P0 (reg: 0x79, val: 0x0F)
14.5273   | 000068E9  | 61: WAIT
14.5274   | 000068EC  | 52: YM2612 P0 (reg: 0x7D, val: 0x0F)
14.5274   | 000068EF  | 52: YM2612 P0 (reg: 0x81, val: 0xFF)
14.5274   | 000068F2  | 61: WAIT
14.5274   | 000068F5  | 52: YM2612 P0 (reg: 0x85, val: 0x0F)
14.5274   | 000068F8  | 52: YM2612 P0 (reg: 0x89, val: 0x0F)
14.5274   | 000068FB  | 61: WAIT
14.5274   | 000068FE  | 52: YM2612 P0 (reg: 0x8D, val: 0x0F)
14.5274   | 00006901  | 52: YM2612 P0 (reg: 0x41, val: 0x04)
14.5274   | 00006904  | 61: WAIT
14.5274   | 00006907  | 52: YM2612 P0 (reg: 0x45, val: 0x1A)
14.5274   | 0000690A  | 52: YM2612 P0 (reg: 0x49, val: 0x1A)
14.5274   | 0000690D  | 61: WAIT
14.5275   | 00006910  | 52: YM2612 P0 (reg: 0x4D, val: 0x1A)
14.5275   | 00006913  | 52: YM2612 P0 (reg: 0xA5, val: 0x04)
14.5275   | 00006916  | 61: WAIT
14.5275   | 00006919  | 52: YM2612 P0 (reg: 0xA1, val: 0x4E)
14.5275   | 0000691C  | 52: YM2612 P0 (reg: 0x28, val: 0x01)
14.5275   | 0000691F  | 52: YM2612 P0 (reg: 0x28, val: 0xF1)
14.5275   | 00006922  | 61: WAIT
14.5275   | 00006925  | 52: YM2612 P0 (reg: 0x45, val: 0x1E)
14.5275   | 00006928  | 52: YM2612 P0 (reg: 0x49, val: 0x1E)
14.5275   | 0000692B  | 61: WAIT
14.5275   | 0000692E  | 52: YM2612 P0 (reg: 0x4D, val: 0x1E)
14.5275   | 00006931  | 52: YM2612 P0 (reg: 0xA6, val: 0x1B)
14.5275   | 00006934  | 61: WAIT
14.5276   | 00006937  | 52: YM2612 P0 (reg: 0xA2, val: 0x0B)
14.5276   | 0000693A  | 52: YM2612 P0 (reg: 0x28, val: 0x02)
14.5276   | 0000693D  | 61: WAIT
14.5276   | 00006940  | 52: YM2612 P0 (reg: 0x28, val: 0xF2)
14.5276   | 00006943  | 52: YM2612 P0 (reg: 0x4E, val: 0x1C)
14.5276   | 00006946  | 61: WAIT
14.5276   | 00006949  | 53: YM2612 P1 (reg: 0xA4, val: 0x23)
14.5276   | 0000694C  | 53: YM2612 P1 (reg: 0xA0, val: 0x0F)
14.5276   | 0000694F  | 61: WAIT
14.5276   | 00006952  | 52: YM2612 P0 (reg: 0x28, val: 0x04)
14.5276   | 00006955  | 52: YM2612 P0 (reg: 0x28, val: 0xF4)
14.5276   | 00006958  | 61: WAIT
14.5276   | 0000695B  | 53: YM2612 P1 (reg: 0x44, val: 0x2C)
14.5276   | 0000695E  | 53: YM2612 P1 (reg: 0x48, val: 0x2C)
14.5276   | 00006961  | 61: WAIT
14.5277   | 00006964  | 53: YM2612 P1 (reg: 0x4C, val: 0x2C)
14.5277   | 00006967  | 61: WAIT
14.5277   | 0000696A  | 53: YM2612 P1 (reg: 0xA5, val: 0x1B)
14.5277   | 0000696D  | 61: WAIT
14.5278   | 00006970  | 53: YM2612 P1 (reg: 0xA1, val: 0x0B)
14.5278   | 00006973  | 61: WAIT
14.5279   | 00006976  | 52: YM2612 P0 (reg: 0x28, val: 0x05)
14.5279   | 00006979  | 61: WAIT
14.5280   | 0000697C  | 52: YM2612 P0 (reg: 0x28, val: 0xF5)
14.5280   | 0000697F  | 61: WAIT
14.5280   | 00006982  | 53: YM2612 P1 (reg: 0x41, val: 0x22)
14.5280   | 00006985  | 53: YM2612 P1 (reg: 0x45, val: 0x22)
14.5280   | 00006988  | 61: WAIT
14.5280   | 0000698B  | 53: YM2612 P1 (reg: 0x49, val: 0x22)
14.5280   | 0000698E  | 53: YM2612 P1 (reg: 0x4D, val: 0x22)
14.5280   | 00006991  | 61: WAIT
14.5281   | 00006994  | 53: YM2612 P1 (reg: 0xA6, val: 0x1A)
14.5281   | 00006997  | 53: YM2612 P1 (reg: 0xA2, val: 0x8F)
14.5281   | 0000699A  | 61: WAIT
14.5281   | 0000699D  | 52: YM2612 P0 (reg: 0x28, val: 0x06)
14.5281   | 000069A0  | 52: YM2612 P0 (reg: 0x28, val: 0xF6)
14.5281   | 000069A3  | 61: WAIT
14.5281   | 000069A6  | 53: YM2612 P1 (reg: 0x42, val: 0x22)
14.5281   | 000069A9  | 53: YM2612 P1 (reg: 0x46, val: 0x22)
14.5281   | 000069AC  | 53: YM2612 P1 (reg: 0x4A, val: 0x22)
14.5281   | 000069AF  | 61: WAIT
14.5281   | 000069B2  | 53: YM2612 P1 (reg: 0x4E, val: 0x22)
14.5281   | 000069B5  | 61: WAIT
14.5515   | 000069B8  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.5515   | 000069BB  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.5515   | 000069BE  | 61: WAIT
14.5763   | 000069C1  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.5763   | 000069C4  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.5763   | 000069C7  | 61: WAIT
14.6012   | 000069CA  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.6012   | 000069CD  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.6012   | 000069D0  | 61: WAIT
14.6258   | 000069D3  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.6258   | 000069D6  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.6258   | 000069D9  | 61: WAIT
14.6506   | 000069DC  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.6506   | 000069DF  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.6506   | 000069E2  | 61: WAIT
14.6754   | 000069E5  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.6754   | 000069E8  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.6754   | 000069EB  | 52: YM2612 P0 (reg: 0x28, val: 0x00)
14.6754   | 000069EE  | 61: WAIT
14.6754   | 000069F1  | 52: YM2612 P0 (reg: 0x28, val: 0x01)
14.6754   | 000069F4  | 61: WAIT
14.6754   | 000069F7  | 52: YM2612 P0 (reg: 0x28, val: 0x05)
14.6754   | 000069FA  | 52: YM2612 P0 (reg: 0x28, val: 0x06)
14.6754   | 000069FD  | 61: WAIT
14.7002   | 00006A00  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.7002   | 00006A03  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.7002   | 00006A06  | 61: WAIT
14.7249   | 00006A09  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.7249   | 00006A0C  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.7249   | 00006A0F  | 61: WAIT
14.7250   | 00006A12  | 52: YM2612 P0 (reg: 0xA4, val: 0x2A)
14.7250   | 00006A15  | 52: YM2612 P0 (reg: 0xA0, val: 0x8F)
14.7250   | 00006A18  | 61: WAIT
14.7250   | 00006A1B  | 52: YM2612 P0 (reg: 0x28, val: 0x00)
14.7250   | 00006A1E  | 52: YM2612 P0 (reg: 0x28, val: 0xF0)
14.7250   | 00006A21  | 61: WAIT
14.7250   | 00006A24  | 52: YM2612 P0 (reg: 0x44, val: 0x28)
14.7250   | 00006A27  | 52: YM2612 P0 (reg: 0x48, val: 0x28)
14.7250   | 00006A2A  | 61: WAIT
14.7250   | 00006A2D  | 52: YM2612 P0 (reg: 0x4C, val: 0x28)
14.7250   | 00006A30  | 52: YM2612 P0 (reg: 0xB1, val: 0x3C)
14.7250   | 00006A33  | 61: WAIT
14.7251   | 00006A36  | 52: YM2612 P0 (reg: 0x31, val: 0x0C)
14.7251   | 00006A39  | 52: YM2612 P0 (reg: 0x35, val: 0x01)
14.7251   | 00006A3C  | 61: WAIT
14.7251   | 00006A3F  | 52: YM2612 P0 (reg: 0x39, val: 0x00)
14.7251   | 00006A42  | 52: YM2612 P0 (reg: 0x3D, val: 0x00)
14.7251   | 00006A45  | 52: YM2612 P0 (reg: 0x51, val: 0x1F)
14.7251   | 00006A48  | 61: WAIT
14.7251   | 00006A4B  | 52: YM2612 P0 (reg: 0x55, val: 0x5F)
14.7251   | 00006A4E  | 52: YM2612 P0 (reg: 0x59, val: 0x1F)
14.7251   | 00006A51  | 61: WAIT
14.7251   | 00006A54  | 52: YM2612 P0 (reg: 0x5D, val: 0x5F)
14.7251   | 00006A57  | 52: YM2612 P0 (reg: 0x61, val: 0x00)
14.7251   | 00006A5A  | 61: WAIT
14.7251   | 00006A5D  | 52: YM2612 P0 (reg: 0x65, val: 0x00)
14.7251   | 00006A60  | 52: YM2612 P0 (reg: 0x69, val: 0x0F)
14.7251   | 00006A63  | 61: WAIT
14.7252   | 00006A66  | 52: YM2612 P0 (reg: 0x6D, val: 0x15)
14.7252   | 00006A69  | 52: YM2612 P0 (reg: 0x71, val: 0x00)
14.7252   | 00006A6C  | 61: WAIT
14.7252   | 00006A6F  | 52: YM2612 P0 (reg: 0x75, val: 0x1B)
14.7252   | 00006A72  | 52: YM2612 P0 (reg: 0x79, val: 0x15)
14.7252   | 00006A75  | 52: YM2612 P0 (reg: 0x7D, val: 0x10)
14.7252   | 00006A78  | 61: WAIT
14.7252   | 00006A7B  | 52: YM2612 P0 (reg: 0x81, val: 0x0F)
14.7252   | 00006A7E  | 52: YM2612 P0 (reg: 0x85, val: 0x0F)
14.7252   | 00006A81  | 61: WAIT
14.7252   | 00006A84  | 52: YM2612 P0 (reg: 0x89, val: 0xAF)
14.7252   | 00006A87  | 52: YM2612 P0 (reg: 0x8D, val: 0x1F)
14.7252   | 00006A8A  | 61: WAIT
14.7253   | 00006A8D  | 52: YM2612 P0 (reg: 0x41, val: 0x07)
14.7253   | 00006A90  | 52: YM2612 P0 (reg: 0x45, val: 0x06)
14.7253   | 00006A93  | 61: WAIT
14.7253   | 00006A96  | 52: YM2612 P0 (reg: 0x49, val: 0x1E)
14.7253   | 00006A99  | 52: YM2612 P0 (reg: 0x4D, val: 0x1E)
14.7253   | 00006A9C  | 61: WAIT
14.7253   | 00006A9F  | 52: YM2612 P0 (reg: 0xA5, val: 0x12)
14.7253   | 00006AA2  | 52: YM2612 P0 (reg: 0xA1, val: 0xDF)
14.7253   | 00006AA5  | 61: WAIT
14.7253   | 00006AA8  | 52: YM2612 P0 (reg: 0x28, val: 0x01)
14.7253   | 00006AAB  | 52: YM2612 P0 (reg: 0x28, val: 0xF1)
14.7253   | 00006AAE  | 61: WAIT
14.7254   | 00006AB1  | 52: YM2612 P0 (reg: 0x49, val: 0x1A)
14.7254   | 00006AB4  | 52: YM2612 P0 (reg: 0x4D, val: 0x1A)
14.7254   | 00006AB7  | 61: WAIT
14.7254   | 00006ABA  | 53: YM2612 P1 (reg: 0xA5, val: 0x1B)
14.7254   | 00006ABD  | 53: YM2612 P1 (reg: 0xA1, val: 0x0B)
14.7254   | 00006AC0  | 61: WAIT
14.7254   | 00006AC3  | 52: YM2612 P0 (reg: 0x28, val: 0x05)
14.7254   | 00006AC6  | 52: YM2612 P0 (reg: 0x28, val: 0xF5)
14.7254   | 00006AC9  | 61: WAIT
14.7254   | 00006ACC  | 53: YM2612 P1 (reg: 0x41, val: 0x2A)
14.7254   | 00006ACF  | 53: YM2612 P1 (reg: 0x45, val: 0x2A)
14.7254   | 00006AD2  | 61: WAIT
14.7254   | 00006AD5  | 53: YM2612 P1 (reg: 0x49, val: 0x2A)
14.7254   | 00006AD8  | 53: YM2612 P1 (reg: 0x4D, val: 0x2A)
14.7254   | 00006ADB  | 61: WAIT
14.7255   | 00006ADE  | 53: YM2612 P1 (reg: 0xA6, val: 0x1A)
14.7255   | 00006AE1  | 53: YM2612 P1 (reg: 0xA2, val: 0x8F)
14.7255   | 00006AE4  | 61: WAIT
14.7255   | 00006AE7  | 52: YM2612 P0 (reg: 0x28, val: 0x06)
14.7255   | 00006AEA  | 52: YM2612 P0 (reg: 0x28, val: 0xF6)
14.7255   | 00006AED  | 61: WAIT
14.7255   | 00006AF0  | 53: YM2612 P1 (reg: 0x42, val: 0x2A)
14.7255   | 00006AF3  | 53: YM2612 P1 (reg: 0x46, val: 0x2A)
14.7255   | 00006AF6  | 53: YM2612 P1 (reg: 0x4A, val: 0x2A)
14.7255   | 00006AF9  | 61: WAIT
14.7255   | 00006AFC  | 53: YM2612 P1 (reg: 0x4E, val: 0x2A)
14.7255   | 00006AFF  | 61: WAIT
14.7497   | 00006B02  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.7497   | 00006B05  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.7497   | 00006B08  | 61: WAIT
14.7745   | 00006B0B  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.7745   | 00006B0E  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.7745   | 00006B11  | 61: WAIT
14.7745   | 00006B14  | 52: YM2612 P0 (reg: 0x28, val: 0x01)
14.7745   | 00006B17  | 52: YM2612 P0 (reg: 0x28, val: 0x02)
14.7745   | 00006B1A  | 61: WAIT
14.7745   | 00006B1D  | 52: YM2612 P0 (reg: 0x28, val: 0x05)
14.7745   | 00006B20  | 52: YM2612 P0 (reg: 0x28, val: 0x06)
14.7745   | 00006B23  | 61: WAIT
14.7992   | 00006B26  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.7992   | 00006B29  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.7992   | 00006B2C  | 61: WAIT
14.8240   | 00006B2F  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.8240   | 00006B32  | 61: WAIT
14.8240   | 00006B35  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
14.8240   | 00006B38  | 52: YM2612 P0 (reg: 0x44, val: 0x2A)
14.8240   | 00006B3B  | 61: WAIT
14.8240   | 00006B3E  | 52: YM2612 P0 (reg: 0x48, val: 0x2A)
14.8240   | 00006B41  | 52: YM2612 P0 (reg: 0x4C, val: 0x2A)
14.8240   | 00006B44  | 61: WAIT
14.8241   | 00006B47  | 52: YM2612 P0 (reg: 0xA4, val: 0x2A)
14.8241   | 00006B4A  | 52: YM2612 P0 (reg: 0xA0, val: 0x8F)
14.8241   | 00006B4D  | 61: WAIT
14.8241   | 00006B50  | 52: YM2612 P0 (reg: 0xB1, val: 0x2D)
14.8241   | 00006B53  | 52: YM2612 P0 (reg: 0x31, val: 0x31)
14.8241   | 00006B56  | 61: WAIT
14.8241   | 00006B59  | 52: YM2612 P0 (reg: 0x35, val: 0x30)
14.8241   | 00006B5C  | 52: YM2612 P0 (reg: 0x39, val: 0x30)
14.8241   | 00006B5F  | 52: YM2612 P0 (reg: 0x3D, val: 0x70)
14.8241   | 00006B62  | 61: WAIT
14.8241   | 00006B65  | 52: YM2612 P0 (reg: 0x51, val: 0x1F)
14.8241   | 00006B68  | 52: YM2612 P0 (reg: 0x55, val: 0x1F)
14.8241   | 00006B6B  | 61: WAIT
14.8241   | 00006B6E  | 52: YM2612 P0 (reg: 0x59, val: 0x1F)
14.8241   | 00006B71  | 52: YM2612 P0 (reg: 0x5D, val: 0x1F)
14.8241   | 00006B74  | 61: WAIT
14.8242   | 00006B77  | 52: YM2612 P0 (reg: 0x61, val: 0x14)
14.8242   | 00006B7A  | 52: YM2612 P0 (reg: 0x65, val: 0x01)
14.8242   | 00006B7D  | 61: WAIT
14.8242   | 00006B80  | 52: YM2612 P0 (reg: 0x69, val: 0x01)
14.8242   | 00006B83  | 52: YM2612 P0 (reg: 0x6D, val: 0x01)
14.8242   | 00006B86  | 61: WAIT
14.8242   | 00006B89  | 52: YM2612 P0 (reg: 0x71, val: 0x00)
14.8242   | 00006B8C  | 52: YM2612 P0 (reg: 0x75, val: 0x0F)
14.8242   | 00006B8F  | 52: YM2612 P0 (reg: 0x79, val: 0x0F)
14.8242   | 00006B92  | 61: WAIT
14.8242   | 00006B95  | 52: YM2612 P0 (reg: 0x7D, val: 0x0F)
14.8242   | 00006B98  | 52: YM2612 P0 (reg: 0x81, val: 0xFF)
14.8242   | 00006B9B  | 61: WAIT
14.8243   | 00006B9E  | 52: YM2612 P0 (reg: 0x85, val: 0x0F)
14.8243   | 00006BA1  | 52: YM2612 P0 (reg: 0x89, val: 0x0F)
14.8243   | 00006BA4  | 61: WAIT
14.8243   | 00006BA7  | 52: YM2612 P0 (reg: 0x8D, val: 0x0F)
14.8243   | 00006BAA  | 52: YM2612 P0 (reg: 0x41, val: 0x04)
14.8243   | 00006BAD  | 61: WAIT
14.8243   | 00006BB0  | 52: YM2612 P0 (reg: 0x45, val: 0x1A)
14.8243   | 00006BB3  | 52: YM2612 P0 (reg: 0x49, val: 0x1A)
14.8243   | 00006BB6  | 61: WAIT
14.8243   | 00006BB9  | 52: YM2612 P0 (reg: 0x4D, val: 0x1A)
14.8243   | 00006BBC  | 52: YM2612 P0 (reg: 0xA5, val: 0x04)
