--- Parsing VGM: console_player/music/ws_vgm_ff1/25_Fanfare.vgm ---
VGM Version: 0x171
Data Start Offset: 0xE0

Offset(h) | Command
00000281  | BC: WonderSwan (reg: 0x10, val: 0x41)
00000284  | 61: WAIT (val: 565)
00000287  | BC: WonderSwan (reg: 0x08, val: 0xAA)
0000028A  | 74: WAIT n+1 (val: 5)
0000028B  | BC: WonderSwan (reg: 0x09, val: 0x88)
0000028E  | 74: WAIT n+1 (val: 5)
0000028F  | BC: WonderSwan (reg: 0x0A, val: 0x22)
00000292  | 74: WAIT n+1 (val: 5)
00000293  | BC: WonderSwan (reg: 0x0B, val: 0x33)
00000296  | 71: WAIT n+1 (val: 2)
00000297  | BC: WonderSwan (reg: 0x10, val: 0x41)
0000029A  | 61: WAIT (val: 568)
0000029D  | BC: WonderSwan (reg: 0x08, val: 0xAA)
000002A0  | 74: WAIT n+1 (val: 5)
000002A1  | BC: WonderSwan (reg: 0x09, val: 0x88)
000002A4  | 75: WAIT n+1 (val: 6)
000002A5  | BC: WonderSwan (reg: 0x0A, val: 0x22)
000002A8  | 75: WAIT n+1 (val: 6)
000002A9  | BC: WonderSwan (reg: 0x0B, val: 0x33)
000002AC  | 71: WAIT n+1 (val: 2)
000002AD  | BC: WonderSwan (reg: 0x10, val: 0x41)
000002B0  | 61: WAIT (val: 565)
000002B3  | BC: WonderSwan (reg: 0x08, val: 0xAA)
000002B6  | 74: WAIT n+1 (val: 5)
000002B7  | BC: WonderSwan (reg: 0x09, val: 0x88)
000002BA  | 74: WAIT n+1 (val: 5)
000002BB  | BC: WonderSwan (reg: 0x0A, val: 0x22)
000002BE  | 74: WAIT n+1 (val: 5)
000002BF  | BC: WonderSwan (reg: 0x0B, val: 0x33)
000002C2  | 70: WAIT n+1 (val: 1)
000002C3  | BC: WonderSwan (reg: 0x10, val: 0x41)
000002C6  | 61: WAIT (val: 568)
000002C9  | BC: WonderSwan (reg: 0x08, val: 0x99)
000002CC  | 76: WAIT n+1 (val: 7)
000002CD  | BC: WonderSwan (reg: 0x00, val: 0x2B)
000002D0  | BC: WonderSwan (reg: 0x01, val: 0x04)
000002D3  | 74: WAIT n+1 (val: 5)
000002D4  | BC: WonderSwan (reg: 0x09, val: 0x77)
000002D7  | 74: WAIT n+1 (val: 5)
000002D8  | BC: WonderSwan (reg: 0x0A, val: 0x22)
000002DB  | 75: WAIT n+1 (val: 6)
000002DC  | BC: WonderSwan (reg: 0x0B, val: 0x33)
000002DF  | 71: WAIT n+1 (val: 2)
000002E0  | BC: WonderSwan (reg: 0x10, val: 0x41)
000002E3  | 61: WAIT (val: 559)
000002E6  | BC: WonderSwan (reg: 0x08, val: 0xA9)
000002E9  | 74: WAIT n+1 (val: 5)
000002EA  | BC: WonderSwan (reg: 0x09, val: 0x77)
000002ED  | 74: WAIT n+1 (val: 5)
000002EE  | BC: WonderSwan (reg: 0x0A, val: 0x22)
000002F1  | 74: WAIT n+1 (val: 5)
000002F2  | BC: WonderSwan (reg: 0x0B, val: 0x33)
000002F5  | 71: WAIT n+1 (val: 2)
000002F6  | BC: WonderSwan (reg: 0x10, val: 0x41)
000002F9  | 61: WAIT (val: 568)
000002FC  | BC: WonderSwan (reg: 0x08, val: 0xA9)
000002FF  | 74: WAIT n+1 (val: 5)
00000300  | BC: WonderSwan (reg: 0x09, val: 0x77)
00000303  | 75: WAIT n+1 (val: 6)
00000304  | BC: WonderSwan (reg: 0x0A, val: 0x22)
00000307  | 74: WAIT n+1 (val: 5)
00000308  | BC: WonderSwan (reg: 0x0B, val: 0x33)
0000030B  | 71: WAIT n+1 (val: 2)
0000030C  | BC: WonderSwan (reg: 0x10, val: 0x41)
0000030F  | 61: WAIT (val: 566)
00000312  | BC: WonderSwan (reg: 0x08, val: 0xA9)
00000315  | 74: WAIT n+1 (val: 5)
00000316  | BC: WonderSwan (reg: 0x09, val: 0x77)
00000319  | 74: WAIT n+1 (val: 5)
