--- Parsing VGM: console_player/music/ws_vgm_ff1/25_Fanfare.vgm ---
VGM Version: 0x171
Data Start Offset: 0xE0

Offset(h) | Command
00000620  | BC: WonderSwan (reg: 0x09, val: 0x87)
00000623  | 76: WAIT n+1 (val: 7)
00000624  | BC: WonderSwan (reg: 0x02, val: 0x64)
00000627  | BC: WonderSwan (reg: 0x03, val: 0x06)
0000062A  | 74: WAIT n+1 (val: 5)
0000062B  | BC: WonderSwan (reg: 0x0A, val: 0x22)
0000062E  | 75: WAIT n+1 (val: 6)
0000062F  | BC: WonderSwan (reg: 0x04, val: 0x16)
00000632  | BC: WonderSwan (reg: 0x05, val: 0x06)
00000635  | BC: WonderSwan (reg: 0x0C, val: 0x00)
00000638  | 74: WAIT n+1 (val: 5)
00000639  | BC: WonderSwan (reg: 0x0B, val: 0x33)
0000063C  | 75: WAIT n+1 (val: 6)
0000063D  | BC: WonderSwan (reg: 0x06, val: 0xC8)
00000640  | BC: WonderSwan (reg: 0x07, val: 0x04)
00000643  | BC: WonderSwan (reg: 0x10, val: 0x4F)
00000646  | 70: WAIT n+1 (val: 1)
00000647  | BC: WonderSwan (reg: 0x10, val: 0x4F)
0000064A  | 61: WAIT (val: 543)
0000064D  | BC: WonderSwan (reg: 0x08, val: 0xA4)
00000650  | 74: WAIT n+1 (val: 5)
00000651  | BC: WonderSwan (reg: 0x09, val: 0x78)
00000654  | 74: WAIT n+1 (val: 5)
00000655  | BC: WonderSwan (reg: 0x0A, val: 0x22)
00000658  | 74: WAIT n+1 (val: 5)
00000659  | BC: WonderSwan (reg: 0x0B, val: 0x33)
0000065C  | 71: WAIT n+1 (val: 2)
0000065D  | BC: WonderSwan (reg: 0x10, val: 0x4F)
00000660  | 61: WAIT (val: 567)
00000663  | BC: WonderSwan (reg: 0x08, val: 0xA4)
00000666  | 75: WAIT n+1 (val: 6)
00000667  | BC: WonderSwan (reg: 0x09, val: 0x78)
0000066A  | 75: WAIT n+1 (val: 6)
0000066B  | BC: WonderSwan (reg: 0x0A, val: 0x22)
0000066E  | 74: WAIT n+1 (val: 5)
0000066F  | BC: WonderSwan (reg: 0x0B, val: 0x33)
00000672  | 71: WAIT n+1 (val: 2)
00000673  | BC: WonderSwan (reg: 0x10, val: 0x4F)
00000676  | 61: WAIT (val: 566)
00000679  | BC: WonderSwan (reg: 0x08, val: 0xA4)
0000067C  | 74: WAIT n+1 (val: 5)
0000067D  | BC: WonderSwan (reg: 0x09, val: 0x78)
00000680  | 74: WAIT n+1 (val: 5)
00000681  | BC: WonderSwan (reg: 0x0A, val: 0x22)
00000684  | 74: WAIT n+1 (val: 5)
00000685  | BC: WonderSwan (reg: 0x0B, val: 0x33)
00000688  | 70: WAIT n+1 (val: 1)
00000689  | BC: WonderSwan (reg: 0x10, val: 0x4F)
0000068C  | 61: WAIT (val: 568)
0000068F  | BC: WonderSwan (reg: 0x08, val: 0xA4)
00000692  | 76: WAIT n+1 (val: 7)
00000693  | BC: WonderSwan (reg: 0x00, val: 0x32)
00000696  | BC: WonderSwan (reg: 0x01, val: 0x07)
00000699  | 73: WAIT n+1 (val: 4)
0000069A  | BC: WonderSwan (reg: 0x09, val: 0x78)
0000069D  | 76: WAIT n+1 (val: 7)
0000069E  | BC: WonderSwan (reg: 0x02, val: 0xCB)
000006A1  | BC: WonderSwan (reg: 0x03, val: 0x06)
000006A4  | 74: WAIT n+1 (val: 5)
000006A5  | BC: WonderSwan (reg: 0x0A, val: 0x22)
000006A8  | 75: WAIT n+1 (val: 6)
000006A9  | BC: WonderSwan (reg: 0x04, val: 0x64)
000006AC  | BC: WonderSwan (reg: 0x05, val: 0x06)
000006AF  | BC: WonderSwan (reg: 0x0C, val: 0x00)
000006B2  | 74: WAIT n+1 (val: 5)
000006B3  | BC: WonderSwan (reg: 0x0B, val: 0x33)
000006B6  | 75: WAIT n+1 (val: 6)
000006B7  | BC: WonderSwan (reg: 0x06, val: 0x97)
000006BA  | BC: WonderSwan (reg: 0x07, val: 0x05)
000006BD  | 70: WAIT n+1 (val: 1)
000006BE  | BC: WonderSwan (reg: 0x10, val: 0x4F)
000006C1  | BC: WonderSwan (reg: 0x10, val: 0x4F)
000006C4  | 61: WAIT (val: 543)
000006C7  | BC: WonderSwan (reg: 0x08, val: 0x3A)
000006CA  | 74: WAIT n+1 (val: 5)
000006CB  | BC: WonderSwan (reg: 0x09, val: 0x85)
000006CE  | 74: WAIT n+1 (val: 5)
000006CF  | BC: WonderSwan (reg: 0x0A, val: 0x22)
000006D2  | 75: WAIT n+1 (val: 6)
000006D3  | BC: WonderSwan (reg: 0x0B, val: 0x33)
000006D6  | 70: WAIT n+1 (val: 1)
000006D7  | BC: WonderSwan (reg: 0x10, val: 0x4F)
000006DA  | 61: WAIT (val: 568)
000006DD  | BC: WonderSwan (reg: 0x08, val: 0x3A)
000006E0  | 74: WAIT n+1 (val: 5)
000006E1  | BC: WonderSwan (reg: 0x09, val: 0x85)
000006E4  | 75: WAIT n+1 (val: 6)
000006E5  | BC: WonderSwan (reg: 0x0A, val: 0x22)
000006E8  | 75: WAIT n+1 (val: 6)
000006E9  | BC: WonderSwan (reg: 0x0B, val: 0x33)
000006EC  | 71: WAIT n+1 (val: 2)
000006ED  | BC: WonderSwan (reg: 0x10, val: 0x4F)
000006F0  | 61: WAIT (val: 565)
000006F3  | BC: WonderSwan (reg: 0x08, val: 0x3A)
000006F6  | 74: WAIT n+1 (val: 5)
000006F7  | BC: WonderSwan (reg: 0x09, val: 0x85)
000006FA  | 74: WAIT n+1 (val: 5)
000006FB  | BC: WonderSwan (reg: 0x0A, val: 0x22)
000006FE  | 74: WAIT n+1 (val: 5)
000006FF  | BC: WonderSwan (reg: 0x0B, val: 0x33)
00000702  | 71: WAIT n+1 (val: 2)
00000703  | BC: WonderSwan (reg: 0x10, val: 0x4F)
00000706  | 61: WAIT (val: 567)
00000709  | BC: WonderSwan (reg: 0x08, val: 0x3A)
0000070C  | 76: WAIT n+1 (val: 7)
0000070D  | BC: WonderSwan (reg: 0x00, val: 0x66)
00000710  | BC: WonderSwan (reg: 0x01, val: 0x07)
00000713  | 74: WAIT n+1 (val: 5)
00000714  | BC: WonderSwan (reg: 0x09, val: 0x85)
00000717  | 75: WAIT n+1 (val: 6)
00000718  | BC: WonderSwan (reg: 0x02, val: 0x0B)
0000071B  | BC: WonderSwan (reg: 0x03, val: 0x07)
0000071E  | 74: WAIT n+1 (val: 5)
0000071F  | BC: WonderSwan (reg: 0x0A, val: 0x22)
00000722  | 75: WAIT n+1 (val: 6)
00000723  | BC: WonderSwan (reg: 0x04, val: 0xCB)
00000726  | BC: WonderSwan (reg: 0x05, val: 0x06)
00000729  | 70: WAIT n+1 (val: 1)
0000072A  | BC: WonderSwan (reg: 0x0C, val: 0x00)
0000072D  | 74: WAIT n+1 (val: 5)
0000072E  | BC: WonderSwan (reg: 0x0B, val: 0x33)
00000731  | 74: WAIT n+1 (val: 5)
00000732  | BC: WonderSwan (reg: 0x06, val: 0x16)
00000735  | BC: WonderSwan (reg: 0x07, val: 0x06)
00000738  | 70: WAIT n+1 (val: 1)
00000739  | BC: WonderSwan (reg: 0x10, val: 0x4F)
0000073C  | 70: WAIT n+1 (val: 1)
0000073D  | BC: WonderSwan (reg: 0x10, val: 0x4F)
00000740  | 61: WAIT (val: 543)
00000743  | BC: WonderSwan (reg: 0x08, val: 0xA2)
00000746  | 74: WAIT n+1 (val: 5)
00000747  | BC: WonderSwan (reg: 0x09, val: 0x58)
0000074A  | 75: WAIT n+1 (val: 6)
0000074B  | BC: WonderSwan (reg: 0x0A, val: 0x22)
0000074E  | 75: WAIT n+1 (val: 6)
0000074F  | BC: WonderSwan (reg: 0x0B, val: 0x33)
00000752  | 71: WAIT n+1 (val: 2)
00000753  | BC: WonderSwan (reg: 0x10, val: 0x4F)
00000756  | 61: WAIT (val: 565)
00000759  | BC: WonderSwan (reg: 0x08, val: 0xA2)
0000075C  | 74: WAIT n+1 (val: 5)
0000075D  | BC: WonderSwan (reg: 0x09, val: 0x58)
00000760  | 74: WAIT n+1 (val: 5)
00000761  | BC: WonderSwan (reg: 0x0A, val: 0x22)
00000764  | 74: WAIT n+1 (val: 5)
00000765  | BC: WonderSwan (reg: 0x0B, val: 0x33)
00000768  | 71: WAIT n+1 (val: 2)
00000769  | BC: WonderSwan (reg: 0x10, val: 0x4F)
0000076C  | 61: WAIT (val: 567)
0000076F  | BC: WonderSwan (reg: 0x08, val: 0xA2)
00000772  | 76: WAIT n+1 (val: 7)
00000773  | BC: WonderSwan (reg: 0x00, val: 0x86)
00000776  | BC: WonderSwan (reg: 0x01, val: 0x07)
00000779  | 74: WAIT n+1 (val: 5)
0000077A  | BC: WonderSwan (reg: 0x09, val: 0x58)
0000077D  | 75: WAIT n+1 (val: 6)
0000077E  | BC: WonderSwan (reg: 0x02, val: 0x32)
00000781  | BC: WonderSwan (reg: 0x03, val: 0x07)
00000784  | 74: WAIT n+1 (val: 5)
00000785  | BC: WonderSwan (reg: 0x0A, val: 0x22)
00000788  | 75: WAIT n+1 (val: 6)
00000789  | BC: WonderSwan (reg: 0x04, val: 0x0B)
0000078C  | BC: WonderSwan (reg: 0x05, val: 0x07)
0000078F  | 70: WAIT n+1 (val: 1)
00000790  | BC: WonderSwan (reg: 0x0C, val: 0x00)
00000793  | 73: WAIT n+1 (val: 4)
00000794  | BC: WonderSwan (reg: 0x0B, val: 0x33)
00000797  | 75: WAIT n+1 (val: 6)
00000798  | BC: WonderSwan (reg: 0x06, val: 0x64)
0000079B  | BC: WonderSwan (reg: 0x07, val: 0x06)
0000079E  | 70: WAIT n+1 (val: 1)
0000079F  | BC: WonderSwan (reg: 0x10, val: 0x4F)
000007A2  | 70: WAIT n+1 (val: 1)
000007A3  | BC: WonderSwan (reg: 0x10, val: 0x4F)
000007A6  | 61: WAIT (val: 543)
000007A9  | BC: WonderSwan (reg: 0x08, val: 0x1A)
000007AC  | 74: WAIT n+1 (val: 5)
000007AD  | BC: WonderSwan (reg: 0x09, val: 0x82)
000007B0  | 74: WAIT n+1 (val: 5)
000007B1  | BC: WonderSwan (reg: 0x0A, val: 0x22)
000007B4  | 74: WAIT n+1 (val: 5)
000007B5  | BC: WonderSwan (reg: 0x0B, val: 0x33)
000007B8  | 70: WAIT n+1 (val: 1)
000007B9  | BC: WonderSwan (reg: 0x10, val: 0x4F)
000007BC  | 61: WAIT (val: 568)
000007BF  | BC: WonderSwan (reg: 0x08, val: 0x1A)
000007C2  | 74: WAIT n+1 (val: 5)
000007C3  | BC: WonderSwan (reg: 0x09, val: 0x82)
000007C6  | 75: WAIT n+1 (val: 6)
000007C7  | BC: WonderSwan (reg: 0x0A, val: 0x22)
000007CA  | 75: WAIT n+1 (val: 6)
000007CB  | BC: WonderSwan (reg: 0x0B, val: 0x33)
000007CE  | 71: WAIT n+1 (val: 2)
000007CF  | BC: WonderSwan (reg: 0x10, val: 0x4F)
000007D2  | 61: WAIT (val: 565)
000007D5  | BC: WonderSwan (reg: 0x08, val: 0x1A)
000007D8  | 74: WAIT n+1 (val: 5)
000007D9  | BC: WonderSwan (reg: 0x09, val: 0x82)
000007DC  | 74: WAIT n+1 (val: 5)
000007DD  | BC: WonderSwan (reg: 0x0A, val: 0x22)
000007E0  | 74: WAIT n+1 (val: 5)
000007E1  | BC: WonderSwan (reg: 0x0B, val: 0x33)
000007E4  | 71: WAIT n+1 (val: 2)
000007E5  | BC: WonderSwan (reg: 0x10, val: 0x4F)
000007E8  | 61: WAIT (val: 568)
000007EB  | BC: WonderSwan (reg: 0x08, val: 0x1A)
000007EE  | 75: WAIT n+1 (val: 6)
000007EF  | BC: WonderSwan (reg: 0x00, val: 0x99)
000007F2  | BC: WonderSwan (reg: 0x01, val: 0x07)
000007F5  | 74: WAIT n+1 (val: 5)
000007F6  | BC: WonderSwan (reg: 0x09, val: 0x82)
000007F9  | 76: WAIT n+1 (val: 7)
000007FA  | BC: WonderSwan (reg: 0x02, val: 0x66)
000007FD  | BC: WonderSwan (reg: 0x03, val: 0x07)
00000800  | 74: WAIT n+1 (val: 5)
00000801  | BC: WonderSwan (reg: 0x0A, val: 0x22)
00000804  | 74: WAIT n+1 (val: 5)
00000805  | BC: WonderSwan (reg: 0x04, val: 0x32)
00000808  | BC: WonderSwan (reg: 0x05, val: 0x07)
0000080B  | 70: WAIT n+1 (val: 1)
0000080C  | BC: WonderSwan (reg: 0x0C, val: 0x00)
0000080F  | 74: WAIT n+1 (val: 5)
00000810  | BC: WonderSwan (reg: 0x0B, val: 0x33)
00000813  | 75: WAIT n+1 (val: 6)
00000814  | BC: WonderSwan (reg: 0x06, val: 0xCB)
00000817  | BC: WonderSwan (reg: 0x07, val: 0x06)
0000081A  | BC: WonderSwan (reg: 0x10, val: 0x4F)
0000081D  | 70: WAIT n+1 (val: 1)
0000081E  | BC: WonderSwan (reg: 0x10, val: 0x4F)
00000821  | 61: WAIT (val: 543)
00000824  | BC: WonderSwan (reg: 0x08, val: 0xA0)
00000827  | 74: WAIT n+1 (val: 5)
00000828  | BC: WonderSwan (reg: 0x09, val: 0x28)
0000082B  | 74: WAIT n+1 (val: 5)
0000082C  | BC: WonderSwan (reg: 0x0A, val: 0x22)
0000082F  | 74: WAIT n+1 (val: 5)
00000830  | BC: WonderSwan (reg: 0x0B, val: 0x33)
00000833  | 70: WAIT n+1 (val: 1)
00000834  | BC: WonderSwan (reg: 0x10, val: 0x4F)
00000837  | 61: WAIT (val: 568)
0000083A  | BC: WonderSwan (reg: 0x08, val: 0xA0)
0000083D  | 75: WAIT n+1 (val: 6)
0000083E  | BC: WonderSwan (reg: 0x09, val: 0x28)
00000841  | 75: WAIT n+1 (val: 6)
00000842  | BC: WonderSwan (reg: 0x0A, val: 0x22)
00000845  | 74: WAIT n+1 (val: 5)
00000846  | BC: WonderSwan (reg: 0x0B, val: 0x33)
00000849  | 71: WAIT n+1 (val: 2)
0000084A  | BC: WonderSwan (reg: 0x10, val: 0x4F)
0000084D  | 61: WAIT (val: 566)
00000850  | BC: WonderSwan (reg: 0x08, val: 0xA0)
00000853  | 74: WAIT n+1 (val: 5)
00000854  | BC: WonderSwan (reg: 0x09, val: 0x28)
00000857  | 74: WAIT n+1 (val: 5)
00000858  | BC: WonderSwan (reg: 0x0A, val: 0x22)
0000085B  | 74: WAIT n+1 (val: 5)
0000085C  | BC: WonderSwan (reg: 0x0B, val: 0x33)
0000085F  | 70: WAIT n+1 (val: 1)
00000860  | BC: WonderSwan (reg: 0x10, val: 0x4F)
00000863  | 61: WAIT (val: 568)
00000866  | BC: WonderSwan (reg: 0x08, val: 0xA0)
00000869  | 77: WAIT n+1 (val: 8)
0000086A  | BC: WonderSwan (reg: 0x00, val: 0xB3)
0000086D  | BC: WonderSwan (reg: 0x01, val: 0x07)
00000870  | 73: WAIT n+1 (val: 4)
00000871  | BC: WonderSwan (reg: 0x09, val: 0x28)
00000874  | 77: WAIT n+1 (val: 8)
00000875  | BC: WonderSwan (reg: 0x02, val: 0x86)
00000878  | BC: WonderSwan (reg: 0x03, val: 0x07)
0000087B  | 74: WAIT n+1 (val: 5)
0000087C  | BC: WonderSwan (reg: 0x0A, val: 0x22)
0000087F  | 75: WAIT n+1 (val: 6)
00000880  | C6: WSwan Mem 00 A0 10
00000884  | C6: WSwan Mem 00 A1 21
00000888  | C6: WSwan Mem 00 A2 32
0000088C  | C6: WSwan Mem 00 A3 43
00000890  | C6: WSwan Mem 00 A4 54
00000894  | C6: WSwan Mem 00 A5 65
00000898  | C6: WSwan Mem 00 A6 76
0000089C  | C6: WSwan Mem 00 A7 87
000008A0  | C6: WSwan Mem 00 A8 87
000008A4  | C6: WSwan Mem 00 A9 98
000008A8  | C6: WSwan Mem 00 AA A9
000008AC  | C6: WSwan Mem 00 AB BA
000008B0  | C6: WSwan Mem 00 AC CB
000008B4  | C6: WSwan Mem 00 AD DC
000008B8  | C6: WSwan Mem 00 AE ED
000008BC  | C6: WSwan Mem 00 AF FE
000008C0  | 72: WAIT n+1 (val: 3)
000008C1  | BC: WonderSwan (reg: 0x04, val: 0xCB)
000008C4  | BC: WonderSwan (reg: 0x05, val: 0x06)
000008C7  | BC: WonderSwan (reg: 0x0C, val: 0x00)
000008CA  | 74: WAIT n+1 (val: 5)
000008CB  | BC: WonderSwan (reg: 0x0B, val: 0x33)
000008CE  | 77: WAIT n+1 (val: 8)
000008CF  | BC: WonderSwan (reg: 0x06, val: 0x99)
000008D2  | BC: WonderSwan (reg: 0x07, val: 0x07)
000008D5  | 70: WAIT n+1 (val: 1)
000008D6  | BC: WonderSwan (reg: 0x10, val: 0x4F)
000008D9  | BC: WonderSwan (reg: 0x10, val: 0x4F)
000008DC  | 61: WAIT (val: 536)
000008DF  | BC: WonderSwan (reg: 0x08, val: 0x88)
000008E2  | 74: WAIT n+1 (val: 5)
000008E3  | BC: WonderSwan (reg: 0x09, val: 0x83)
000008E6  | 74: WAIT n+1 (val: 5)
000008E7  | BC: WonderSwan (reg: 0x0A, val: 0xAA)
000008EA  | 74: WAIT n+1 (val: 5)
000008EB  | BC: WonderSwan (reg: 0x0B, val: 0x38)
000008EE  | 71: WAIT n+1 (val: 2)
000008EF  | BC: WonderSwan (reg: 0x10, val: 0x4F)
000008F2  | 61: WAIT (val: 568)
000008F5  | BC: WonderSwan (reg: 0x08, val: 0x88)
000008F8  | 74: WAIT n+1 (val: 5)
000008F9  | BC: WonderSwan (reg: 0x09, val: 0x83)
000008FC  | 75: WAIT n+1 (val: 6)
000008FD  | BC: WonderSwan (reg: 0x0A, val: 0xAA)
00000900  | 75: WAIT n+1 (val: 6)
00000901  | BC: WonderSwan (reg: 0x0B, val: 0x38)
00000904  | 71: WAIT n+1 (val: 2)
00000905  | BC: WonderSwan (reg: 0x10, val: 0x4F)
00000908  | 61: WAIT (val: 565)
0000090B  | BC: WonderSwan (reg: 0x08, val: 0x88)
0000090E  | 74: WAIT n+1 (val: 5)
0000090F  | BC: WonderSwan (reg: 0x09, val: 0x83)
00000912  | 74: WAIT n+1 (val: 5)
00000913  | BC: WonderSwan (reg: 0x0A, val: 0xAA)
00000916  | 74: WAIT n+1 (val: 5)
00000917  | BC: WonderSwan (reg: 0x0B, val: 0x38)
0000091A  | 70: WAIT n+1 (val: 1)
0000091B  | BC: WonderSwan (reg: 0x10, val: 0x4F)
0000091E  | 61: WAIT (val: 568)
00000921  | BC: WonderSwan (reg: 0x08, val: 0x88)
00000924  | 76: WAIT n+1 (val: 7)
00000925  | BC: WonderSwan (reg: 0x00, val: 0x86)
00000928  | BC: WonderSwan (reg: 0x01, val: 0x07)
0000092B  | 74: WAIT n+1 (val: 5)
0000092C  | BC: WonderSwan (reg: 0x09, val: 0x83)
0000092F  | 76: WAIT n+1 (val: 7)
00000930  | BC: WonderSwan (reg: 0x02, val: 0x66)
00000933  | BC: WonderSwan (reg: 0x03, val: 0x07)
00000936  | 74: WAIT n+1 (val: 5)
00000937  | BC: WonderSwan (reg: 0x0A, val: 0xAA)
0000093A  | 77: WAIT n+1 (val: 8)
0000093B  | BC: WonderSwan (reg: 0x04, val: 0xCB)
0000093E  | BC: WonderSwan (reg: 0x05, val: 0x06)
00000941  | BC: WonderSwan (reg: 0x0C, val: 0x00)
00000944  | 74: WAIT n+1 (val: 5)
00000945  | BC: WonderSwan (reg: 0x0B, val: 0x38)
00000948  | 76: WAIT n+1 (val: 7)
00000949  | BC: WonderSwan (reg: 0x06, val: 0x32)
0000094C  | BC: WonderSwan (reg: 0x07, val: 0x07)
0000094F  | BC: WonderSwan (reg: 0x10, val: 0x4F)
00000952  | 70: WAIT n+1 (val: 1)
00000953  | BC: WonderSwan (reg: 0x10, val: 0x4F)
00000956  | 61: WAIT (val: 540)
00000959  | BC: WonderSwan (reg: 0x08, val: 0x33)
0000095C  | 74: WAIT n+1 (val: 5)
0000095D  | BC: WonderSwan (reg: 0x09, val: 0x33)
00000960  | 74: WAIT n+1 (val: 5)
00000961  | BC: WonderSwan (reg: 0x0A, val: 0x47)
00000964  | 74: WAIT n+1 (val: 5)
00000965  | BC: WonderSwan (reg: 0x0B, val: 0x22)
00000968  | 70: WAIT n+1 (val: 1)
00000969  | BC: WonderSwan (reg: 0x10, val: 0x4F)
0000096C  | 61: WAIT (val: 568)
0000096F  | BC: WonderSwan (reg: 0x08, val: 0x33)
00000972  | 74: WAIT n+1 (val: 5)
00000973  | BC: WonderSwan (reg: 0x09, val: 0x33)
00000976  | 75: WAIT n+1 (val: 6)
00000977  | BC: WonderSwan (reg: 0x0A, val: 0x47)
0000097A  | 75: WAIT n+1 (val: 6)
0000097B  | BC: WonderSwan (reg: 0x0B, val: 0x22)
0000097E  | 71: WAIT n+1 (val: 2)
0000097F  | BC: WonderSwan (reg: 0x10, val: 0x4F)
00000982  | 61: WAIT (val: 565)
00000985  | BC: WonderSwan (reg: 0x08, val: 0x33)
00000988  | 76: WAIT n+1 (val: 7)
00000989  | BC: WonderSwan (reg: 0x00, val: 0xB3)
0000098C  | BC: WonderSwan (reg: 0x01, val: 0x07)
0000098F  | 74: WAIT n+1 (val: 5)
00000990  | BC: WonderSwan (reg: 0x09, val: 0x33)
00000993  | 76: WAIT n+1 (val: 7)
00000994  | BC: WonderSwan (reg: 0x02, val: 0x86)
00000997  | BC: WonderSwan (reg: 0x03, val: 0x07)
0000099A  | 74: WAIT n+1 (val: 5)
0000099B  | BC: WonderSwan (reg: 0x0A, val: 0x47)
0000099E  | 76: WAIT n+1 (val: 7)
0000099F  | BC: WonderSwan (reg: 0x04, val: 0x64)
000009A2  | BC: WonderSwan (reg: 0x05, val: 0x06)
000009A5  | 70: WAIT n+1 (val: 1)
000009A6  | BC: WonderSwan (reg: 0x0C, val: 0x00)
000009A9  | 74: WAIT n+1 (val: 5)
000009AA  | BC: WonderSwan (reg: 0x0B, val: 0x22)
000009AD  | 76: WAIT n+1 (val: 7)
000009AE  | BC: WonderSwan (reg: 0x06, val: 0x99)
000009B1  | BC: WonderSwan (reg: 0x07, val: 0x07)
000009B4  | BC: WonderSwan (reg: 0x10, val: 0x4F)
000009B7  | 70: WAIT n+1 (val: 1)
000009B8  | BC: WonderSwan (reg: 0x10, val: 0x4F)
000009BB  | 61: WAIT (val: 540)
000009BE  | BC: WonderSwan (reg: 0x08, val: 0x88)
000009C1  | 74: WAIT n+1 (val: 5)
000009C2  | BC: WonderSwan (reg: 0x09, val: 0x83)
000009C5  | 74: WAIT n+1 (val: 5)
000009C6  | BC: WonderSwan (reg: 0x0A, val: 0xAA)
000009C9  | 74: WAIT n+1 (val: 5)
000009CA  | BC: WonderSwan (reg: 0x0B, val: 0x37)
000009CD  | 70: WAIT n+1 (val: 1)
000009CE  | BC: WonderSwan (reg: 0x10, val: 0x4F)
000009D1  | 61: WAIT (val: 568)
000009D4  | BC: WonderSwan (reg: 0x08, val: 0x88)
000009D7  | 74: WAIT n+1 (val: 5)
000009D8  | BC: WonderSwan (reg: 0x09, val: 0x83)
000009DB  | 75: WAIT n+1 (val: 6)
000009DC  | BC: WonderSwan (reg: 0x0A, val: 0xAA)
000009DF  | 75: WAIT n+1 (val: 6)
000009E0  | BC: WonderSwan (reg: 0x0B, val: 0x37)
000009E3  | 71: WAIT n+1 (val: 2)
000009E4  | BC: WonderSwan (reg: 0x10, val: 0x4F)
000009E7  | 61: WAIT (val: 565)
000009EA  | BC: WonderSwan (reg: 0x08, val: 0x88)
000009ED  | 74: WAIT n+1 (val: 5)
000009EE  | BC: WonderSwan (reg: 0x09, val: 0x83)
000009F1  | 74: WAIT n+1 (val: 5)
000009F2  | BC: WonderSwan (reg: 0x0A, val: 0xAA)
000009F5  | 74: WAIT n+1 (val: 5)
000009F6  | BC: WonderSwan (reg: 0x0B, val: 0x37)
000009F9  | 71: WAIT n+1 (val: 2)
000009FA  | BC: WonderSwan (reg: 0x10, val: 0x4F)
000009FD  | 61: WAIT (val: 568)
00000A00  | BC: WonderSwan (reg: 0x08, val: 0x88)
00000A03  | 75: WAIT n+1 (val: 6)
00000A04  | BC: WonderSwan (reg: 0x00, val: 0xB3)
00000A07  | BC: WonderSwan (reg: 0x01, val: 0x07)
00000A0A  | 74: WAIT n+1 (val: 5)
00000A0B  | BC: WonderSwan (reg: 0x09, val: 0x83)
00000A0E  | 76: WAIT n+1 (val: 7)
00000A0F  | BC: WonderSwan (reg: 0x02, val: 0x86)
00000A12  | BC: WonderSwan (reg: 0x03, val: 0x07)
00000A15  | 74: WAIT n+1 (val: 5)
00000A16  | BC: WonderSwan (reg: 0x0A, val: 0xAA)
00000A19  | 77: WAIT n+1 (val: 8)
00000A1A  | BC: WonderSwan (reg: 0x04, val: 0xCB)
00000A1D  | BC: WonderSwan (reg: 0x05, val: 0x06)
00000A20  | BC: WonderSwan (reg: 0x0C, val: 0x00)
00000A23  | 74: WAIT n+1 (val: 5)
00000A24  | BC: WonderSwan (reg: 0x0B, val: 0x37)
00000A27  | 73: WAIT n+1 (val: 4)
00000A28  | BC: WonderSwan (reg: 0x10, val: 0x4F)
00000A2B  | 61: WAIT (val: 544)
00000A2E  | BC: WonderSwan (reg: 0x08, val: 0x33)
00000A31  | 74: WAIT n+1 (val: 5)
00000A32  | BC: WonderSwan (reg: 0x09, val: 0x33)
00000A35  | 74: WAIT n+1 (val: 5)
00000A36  | BC: WonderSwan (reg: 0x0A, val: 0x74)
00000A39  | 74: WAIT n+1 (val: 5)
00000A3A  | BC: WonderSwan (reg: 0x0B, val: 0x00)
00000A3D  | 70: WAIT n+1 (val: 1)
00000A3E  | BC: WonderSwan (reg: 0x10, val: 0x4F)
00000A41  | 61: WAIT (val: 568)
00000A44  | BC: WonderSwan (reg: 0x08, val: 0x33)
00000A47  | 75: WAIT n+1 (val: 6)
00000A48  | BC: WonderSwan (reg: 0x09, val: 0x33)
00000A4B  | 74: WAIT n+1 (val: 5)
00000A4C  | BC: WonderSwan (reg: 0x0A, val: 0x74)
00000A4F  | 75: WAIT n+1 (val: 6)
00000A50  | BC: WonderSwan (reg: 0x0B, val: 0x00)
00000A53  | 71: WAIT n+1 (val: 2)
00000A54  | BC: WonderSwan (reg: 0x10, val: 0x4F)
00000A57  | 61: WAIT (val: 566)
00000A5A  | BC: WonderSwan (reg: 0x08, val: 0x33)
00000A5D  | 74: WAIT n+1 (val: 5)
00000A5E  | BC: WonderSwan (reg: 0x09, val: 0x33)
00000A61  | 74: WAIT n+1 (val: 5)
00000A62  | BC: WonderSwan (reg: 0x0A, val: 0x74)
00000A65  | 73: WAIT n+1 (val: 4)
00000A66  | BC: WonderSwan (reg: 0x0B, val: 0x00)
00000A69  | 71: WAIT n+1 (val: 2)
00000A6A  | BC: WonderSwan (reg: 0x10, val: 0x4F)
00000A6D  | 61: WAIT (val: 568)
00000A70  | BC: WonderSwan (reg: 0x08, val: 0x33)
00000A73  | 76: WAIT n+1 (val: 7)
00000A74  | BC: WonderSwan (reg: 0x00, val: 0xB3)
00000A77  | BC: WonderSwan (reg: 0x01, val: 0x07)
00000A7A  | 73: WAIT n+1 (val: 4)
00000A7B  | BC: WonderSwan (reg: 0x09, val: 0x33)
00000A7E  | 76: WAIT n+1 (val: 7)
00000A7F  | BC: WonderSwan (reg: 0x02, val: 0x86)
00000A82  | BC: WonderSwan (reg: 0x03, val: 0x07)
00000A85  | 74: WAIT n+1 (val: 5)
00000A86  | BC: WonderSwan (reg: 0x0A, val: 0x74)
00000A89  | 77: WAIT n+1 (val: 8)
00000A8A  | BC: WonderSwan (reg: 0x04, val: 0x16)
00000A8D  | BC: WonderSwan (reg: 0x05, val: 0x06)
00000A90  | 70: WAIT n+1 (val: 1)
00000A91  | BC: WonderSwan (reg: 0x0C, val: 0x00)
00000A94  | 73: WAIT n+1 (val: 4)
