--- Parsing VGM: console_player/cache/25_Fanfare.vgm.opm.vgm ---
VGM Version: 0x171
Data Start Offset: 0x100

Offset(h) | Command
0000020E  | 70: WAIT n+1 (val: 1)
0000020F  | 54: YM2151 (reg: 0x24, val: 0xFC)
00000212  | 54: YM2151 (reg: 0x74, val: 0x14)
00000215  | 61: WAIT (val: 568)
00000218  | 54: YM2151 (reg: 0x24, val: 0xFC)
0000021B  | 54: YM2151 (reg: 0x74, val: 0x18)
0000021E  | 76: WAIT n+1 (val: 7)
0000021F  | 54: YM2151 (reg: 0x24, val: 0xFC)
00000222  | 54: YM2151 (reg: 0x74, val: 0x18)
00000225  | 54: YM2151 (reg: 0x24, val: 0xFC)
00000228  | 54: YM2151 (reg: 0x74, val: 0x18)
0000022B  | 74: WAIT n+1 (val: 5)
0000022C  | 74: WAIT n+1 (val: 5)
0000022D  | 75: WAIT n+1 (val: 6)
0000022E  | 71: WAIT n+1 (val: 2)
0000022F  | 54: YM2151 (reg: 0x24, val: 0xFC)
00000232  | 54: YM2151 (reg: 0x74, val: 0x18)
00000235  | 61: WAIT (val: 559)
00000238  | 54: YM2151 (reg: 0x24, val: 0xFC)
0000023B  | 54: YM2151 (reg: 0x74, val: 0x14)
0000023E  | 74: WAIT n+1 (val: 5)
0000023F  | 74: WAIT n+1 (val: 5)
00000240  | 74: WAIT n+1 (val: 5)
00000241  | 71: WAIT n+1 (val: 2)
00000242  | 54: YM2151 (reg: 0x24, val: 0xFC)
00000245  | 54: YM2151 (reg: 0x74, val: 0x14)
00000248  | 61: WAIT (val: 568)
0000024B  | 54: YM2151 (reg: 0x24, val: 0xFC)
0000024E  | 54: YM2151 (reg: 0x74, val: 0x14)
00000251  | 74: WAIT n+1 (val: 5)
00000252  | 75: WAIT n+1 (val: 6)
00000253  | 74: WAIT n+1 (val: 5)
00000254  | 71: WAIT n+1 (val: 2)
00000255  | 54: YM2151 (reg: 0x24, val: 0xFC)
00000258  | 54: YM2151 (reg: 0x74, val: 0x14)
0000025B  | 61: WAIT (val: 566)
0000025E  | 54: YM2151 (reg: 0x24, val: 0xFC)
00000261  | 54: YM2151 (reg: 0x74, val: 0x14)
00000264  | 74: WAIT n+1 (val: 5)
00000265  | 74: WAIT n+1 (val: 5)
00000266  | 74: WAIT n+1 (val: 5)
00000267  | 70: WAIT n+1 (val: 1)
00000268  | 54: YM2151 (reg: 0x24, val: 0xFC)
0000026B  | 54: YM2151 (reg: 0x74, val: 0x14)
0000026E  | 61: WAIT (val: 568)
00000271  | 54: YM2151 (reg: 0x2C, val: 0x31)
00000274  | 54: YM2151 (reg: 0x34, val: 0x64)
00000277  | 54: YM2151 (reg: 0x24, val: 0xFC)
0000027A  | 54: YM2151 (reg: 0x74, val: 0x14)
0000027D  | 76: WAIT n+1 (val: 7)
0000027E  | 54: YM2151 (reg: 0x2C, val: 0x35)
00000281  | 54: YM2151 (reg: 0x34, val: 0x6C)
00000284  | 54: YM2151 (reg: 0x24, val: 0xFC)
00000287  | 54: YM2151 (reg: 0x74, val: 0x14)
0000028A  | 54: YM2151 (reg: 0x24, val: 0xFC)
0000028D  | 54: YM2151 (reg: 0x74, val: 0x14)
00000290  | 74: WAIT n+1 (val: 5)
00000291  | 73: WAIT n+1 (val: 4)
00000292  | 70: WAIT n+1 (val: 1)
00000293  | 71: WAIT n+1 (val: 2)
00000294  | 74: WAIT n+1 (val: 5)
00000295  | 75: WAIT n+1 (val: 6)
00000296  | 70: WAIT n+1 (val: 1)
00000297  | 54: YM2151 (reg: 0x24, val: 0xFC)
0000029A  | 54: YM2151 (reg: 0x74, val: 0x14)
0000029D  | 54: YM2151 (reg: 0x2D, val: 0x2C)
000002A0  | 54: YM2151 (reg: 0x35, val: 0x68)
000002A3  | 54: YM2151 (reg: 0x25, val: 0xFC)
000002A6  | 54: YM2151 (reg: 0x2D, val: 0x2C)
000002A9  | 54: YM2151 (reg: 0x35, val: 0x68)
000002AC  | 54: YM2151 (reg: 0x75, val: 0x20)
000002AF  | 54: YM2151 (reg: 0x08, val: 0x1D)
000002B2  | 61: WAIT (val: 554)
000002B5  | 54: YM2151 (reg: 0x24, val: 0xFC)
000002B8  | 54: YM2151 (reg: 0x74, val: 0x14)
000002BB  | 74: WAIT n+1 (val: 5)
000002BC  | 54: YM2151 (reg: 0x25, val: 0xFC)
000002BF  | 54: YM2151 (reg: 0x75, val: 0x1C)
000002C2  | 74: WAIT n+1 (val: 5)
000002C3  | 74: WAIT n+1 (val: 5)
000002C4  | 70: WAIT n+1 (val: 1)
000002C5  | 54: YM2151 (reg: 0x24, val: 0xFC)
000002C8  | 54: YM2151 (reg: 0x74, val: 0x14)
000002CB  | 54: YM2151 (reg: 0x25, val: 0xFC)
000002CE  | 54: YM2151 (reg: 0x75, val: 0x1C)
