--- Parsing VGM: console_player/cache/25_Fanfare.vgm.opm.vgm ---
VGM Version: 0x171
Data Start Offset: 0x100

Offset(h) | Command
00000196  | 54: YM2151 (reg: 0xE7, val: 0x0F)
00000199  | 54: YM2151 (reg: 0xF7, val: 0x0F)
0000019C  | 54: YM2151 (reg: 0x23, val: 0xFC)
0000019F  | 54: YM2151 (reg: 0x5B, val: 0x00)
000001A2  | 54: YM2151 (reg: 0x7B, val: 0x7F)
000001A5  | 54: YM2151 (reg: 0x9B, val: 0x1F)
000001A8  | 54: YM2151 (reg: 0xBB, val: 0x00)
000001AB  | 54: YM2151 (reg: 0xDB, val: 0x00)
000001AE  | 54: YM2151 (reg: 0xFB, val: 0x0F)
000001B1  | 70: WAIT n+1 (val: 1)
000001B2  | 78: WAIT n+1 (val: 9)
000001B3  | 72: WAIT n+1 (val: 3)
000001B4  | 71: WAIT n+1 (val: 2)
000001B5  | 70: WAIT n+1 (val: 1)
000001B6  | 77: WAIT n+1 (val: 8)
000001B7  | 70: WAIT n+1 (val: 1)
000001B8  | 77: WAIT n+1 (val: 8)
000001B9  | 77: WAIT n+1 (val: 8)
000001BA  | 61: WAIT (val: 546)
000001BD  | 74: WAIT n+1 (val: 5)
000001BE  | 75: WAIT n+1 (val: 6)
000001BF  | 75: WAIT n+1 (val: 6)
000001C0  | 71: WAIT n+1 (val: 2)
000001C1  | 61: WAIT (val: 565)
000001C4  | 74: WAIT n+1 (val: 5)
000001C5  | 74: WAIT n+1 (val: 5)
000001C6  | 74: WAIT n+1 (val: 5)
000001C7  | 71: WAIT n+1 (val: 2)
000001C8  | 61: WAIT (val: 568)
000001CB  | 74: WAIT n+1 (val: 5)
000001CC  | 75: WAIT n+1 (val: 6)
000001CD  | 75: WAIT n+1 (val: 6)
000001CE  | 71: WAIT n+1 (val: 2)
000001CF  | 61: WAIT (val: 565)
000001D2  | 74: WAIT n+1 (val: 5)
000001D3  | 74: WAIT n+1 (val: 5)
000001D4  | 74: WAIT n+1 (val: 5)
000001D5  | 70: WAIT n+1 (val: 1)
000001D6  | 61: WAIT (val: 568)
000001D9  | 76: WAIT n+1 (val: 7)
000001DA  | 74: WAIT n+1 (val: 5)
000001DB  | 74: WAIT n+1 (val: 5)
000001DC  | 75: WAIT n+1 (val: 6)
000001DD  | 71: WAIT n+1 (val: 2)
000001DE  | 61: WAIT (val: 559)
000001E1  | 74: WAIT n+1 (val: 5)
000001E2  | 74: WAIT n+1 (val: 5)
000001E3  | 74: WAIT n+1 (val: 5)
000001E4  | 71: WAIT n+1 (val: 2)
000001E5  | 61: WAIT (val: 568)
000001E8  | 74: WAIT n+1 (val: 5)
000001E9  | 75: WAIT n+1 (val: 6)
000001EA  | 74: WAIT n+1 (val: 5)
000001EB  | 71: WAIT n+1 (val: 2)
000001EC  | 61: WAIT (val: 566)
000001EF  | 74: WAIT n+1 (val: 5)
000001F0  | 74: WAIT n+1 (val: 5)
000001F1  | 74: WAIT n+1 (val: 5)
000001F2  | 70: WAIT n+1 (val: 1)
000001F3  | 61: WAIT (val: 568)
000001F6  | 76: WAIT n+1 (val: 7)
000001F7  | 74: WAIT n+1 (val: 5)
000001F8  | 73: WAIT n+1 (val: 4)
000001F9  | 70: WAIT n+1 (val: 1)
000001FA  | 71: WAIT n+1 (val: 2)
000001FB  | 74: WAIT n+1 (val: 5)
000001FC  | 75: WAIT n+1 (val: 6)
000001FD  | 70: WAIT n+1 (val: 1)
000001FE  | 61: WAIT (val: 554)
00000201  | 74: WAIT n+1 (val: 5)
00000202  | 74: WAIT n+1 (val: 5)
00000203  | 74: WAIT n+1 (val: 5)
00000204  | 70: WAIT n+1 (val: 1)
00000205  | 61: WAIT (val: 568)
00000208  | 75: WAIT n+1 (val: 6)
00000209  | 74: WAIT n+1 (val: 5)
0000020A  | 75: WAIT n+1 (val: 6)
0000020B  | 71: WAIT n+1 (val: 2)
0000020C  | 61: WAIT (val: 566)
0000020F  | 74: WAIT n+1 (val: 5)
00000210  | 74: WAIT n+1 (val: 5)
00000211  | 74: WAIT n+1 (val: 5)
00000212  | 70: WAIT n+1 (val: 1)
00000213  | 61: WAIT (val: 568)
00000216  | 75: WAIT n+1 (val: 6)
00000217  | 74: WAIT n+1 (val: 5)
00000218  | 76: WAIT n+1 (val: 7)
00000219  | 74: WAIT n+1 (val: 5)
0000021A  | 72: WAIT n+1 (val: 3)
0000021B  | 70: WAIT n+1 (val: 1)
0000021C  | 71: WAIT n+1 (val: 2)
0000021D  | 70: WAIT n+1 (val: 1)
0000021E  | 73: WAIT n+1 (val: 4)
0000021F  | 71: WAIT n+1 (val: 2)
00000220  | 61: WAIT (val: 548)
00000223  | 74: WAIT n+1 (val: 5)
00000224  | 74: WAIT n+1 (val: 5)
00000225  | 74: WAIT n+1 (val: 5)
00000226  | 71: WAIT n+1 (val: 2)
00000227  | 61: WAIT (val: 568)
0000022A  | 74: WAIT n+1 (val: 5)
0000022B  | 75: WAIT n+1 (val: 6)
0000022C  | 74: WAIT n+1 (val: 5)
0000022D  | 71: WAIT n+1 (val: 2)
0000022E  | 61: WAIT (val: 566)
00000231  | 74: WAIT n+1 (val: 5)
00000232  | 74: WAIT n+1 (val: 5)
00000233  | 74: WAIT n+1 (val: 5)
00000234  | 70: WAIT n+1 (val: 1)
00000235  | 61: WAIT (val: 568)
00000238  | 76: WAIT n+1 (val: 7)
00000239  | 74: WAIT n+1 (val: 5)
0000023A  | 75: WAIT n+1 (val: 6)
0000023B  | 74: WAIT n+1 (val: 5)
0000023C  | 75: WAIT n+1 (val: 6)
0000023D  | 70: WAIT n+1 (val: 1)
0000023E  | 73: WAIT n+1 (val: 4)
0000023F  | 71: WAIT n+1 (val: 2)
00000240  | 61: WAIT (val: 548)
00000243  | 75: WAIT n+1 (val: 6)
00000244  | 75: WAIT n+1 (val: 6)
00000245  | 74: WAIT n+1 (val: 5)
00000246  | 71: WAIT n+1 (val: 2)
00000247  | 61: WAIT (val: 566)
0000024A  | 74: WAIT n+1 (val: 5)
0000024B  | 74: WAIT n+1 (val: 5)
0000024C  | 74: WAIT n+1 (val: 5)
0000024D  | 70: WAIT n+1 (val: 1)
0000024E  | 61: WAIT (val: 568)
00000251  | 76: WAIT n+1 (val: 7)
00000252  | 73: WAIT n+1 (val: 4)
00000253  | 76: WAIT n+1 (val: 7)
00000254  | 74: WAIT n+1 (val: 5)
00000255  | 75: WAIT n+1 (val: 6)
00000256  | 74: WAIT n+1 (val: 5)
00000257  | 73: WAIT n+1 (val: 4)
00000258  | 72: WAIT n+1 (val: 3)
00000259  | 70: WAIT n+1 (val: 1)
0000025A  | 61: WAIT (val: 542)
0000025D  | 74: WAIT n+1 (val: 5)
0000025E  | 75: WAIT n+1 (val: 6)
0000025F  | 74: WAIT n+1 (val: 5)
00000260  | 70: WAIT n+1 (val: 1)
00000261  | 61: WAIT (val: 568)
00000264  | 74: WAIT n+1 (val: 5)
00000265  | 75: WAIT n+1 (val: 6)
00000266  | 75: WAIT n+1 (val: 6)
00000267  | 71: WAIT n+1 (val: 2)
00000268  | 61: WAIT (val: 565)
0000026B  | 74: WAIT n+1 (val: 5)
0000026C  | 74: WAIT n+1 (val: 5)
0000026D  | 74: WAIT n+1 (val: 5)
0000026E  | 71: WAIT n+1 (val: 2)
0000026F  | 61: WAIT (val: 567)
00000272  | 76: WAIT n+1 (val: 7)
00000273  | 74: WAIT n+1 (val: 5)
00000274  | 75: WAIT n+1 (val: 6)
00000275  | 74: WAIT n+1 (val: 5)
00000276  | 75: WAIT n+1 (val: 6)
00000277  | 70: WAIT n+1 (val: 1)
00000278  | 74: WAIT n+1 (val: 5)
00000279  | 74: WAIT n+1 (val: 5)
0000027A  | 70: WAIT n+1 (val: 1)
0000027B  | 70: WAIT n+1 (val: 1)
0000027C  | 61: WAIT (val: 543)
0000027F  | 74: WAIT n+1 (val: 5)
00000280  | 74: WAIT n+1 (val: 5)
00000281  | 74: WAIT n+1 (val: 5)
00000282  | 70: WAIT n+1 (val: 1)
00000283  | 61: WAIT (val: 568)
00000286  | 75: WAIT n+1 (val: 6)
00000287  | 74: WAIT n+1 (val: 5)
00000288  | 75: WAIT n+1 (val: 6)
00000289  | 71: WAIT n+1 (val: 2)
0000028A  | 61: WAIT (val: 565)
0000028D  | 74: WAIT n+1 (val: 5)
0000028E  | 74: WAIT n+1 (val: 5)
0000028F  | 75: WAIT n+1 (val: 6)
00000290  | 70: WAIT n+1 (val: 1)
00000291  | 61: WAIT (val: 568)
00000294  | 75: WAIT n+1 (val: 6)
00000295  | 74: WAIT n+1 (val: 5)
00000296  | 76: WAIT n+1 (val: 7)
00000297  | 74: WAIT n+1 (val: 5)
00000298  | 75: WAIT n+1 (val: 6)
00000299  | 74: WAIT n+1 (val: 5)
0000029A  | 75: WAIT n+1 (val: 6)
0000029B  | 70: WAIT n+1 (val: 1)
0000029C  | 61: WAIT (val: 543)
0000029F  | 74: WAIT n+1 (val: 5)
000002A0  | 74: WAIT n+1 (val: 5)
000002A1  | 74: WAIT n+1 (val: 5)
000002A2  | 71: WAIT n+1 (val: 2)
000002A3  | 61: WAIT (val: 567)
000002A6  | 75: WAIT n+1 (val: 6)
000002A7  | 75: WAIT n+1 (val: 6)
000002A8  | 74: WAIT n+1 (val: 5)
000002A9  | 71: WAIT n+1 (val: 2)
000002AA  | 61: WAIT (val: 566)
000002AD  | 74: WAIT n+1 (val: 5)
000002AE  | 74: WAIT n+1 (val: 5)
000002AF  | 74: WAIT n+1 (val: 5)
000002B0  | 70: WAIT n+1 (val: 1)
000002B1  | 61: WAIT (val: 568)
000002B4  | 76: WAIT n+1 (val: 7)
000002B5  | 73: WAIT n+1 (val: 4)
000002B6  | 76: WAIT n+1 (val: 7)
000002B7  | 74: WAIT n+1 (val: 5)
000002B8  | 75: WAIT n+1 (val: 6)
000002B9  | 74: WAIT n+1 (val: 5)
000002BA  | 75: WAIT n+1 (val: 6)
000002BB  | 70: WAIT n+1 (val: 1)
000002BC  | 61: WAIT (val: 543)
000002BF  | 74: WAIT n+1 (val: 5)
000002C0  | 74: WAIT n+1 (val: 5)
000002C1  | 75: WAIT n+1 (val: 6)
000002C2  | 70: WAIT n+1 (val: 1)
000002C3  | 61: WAIT (val: 568)
000002C6  | 74: WAIT n+1 (val: 5)
000002C7  | 75: WAIT n+1 (val: 6)
000002C8  | 75: WAIT n+1 (val: 6)
000002C9  | 71: WAIT n+1 (val: 2)
000002CA  | 61: WAIT (val: 565)
000002CD  | 74: WAIT n+1 (val: 5)
000002CE  | 74: WAIT n+1 (val: 5)
000002CF  | 74: WAIT n+1 (val: 5)
000002D0  | 71: WAIT n+1 (val: 2)
000002D1  | 61: WAIT (val: 567)
000002D4  | 76: WAIT n+1 (val: 7)
000002D5  | 74: WAIT n+1 (val: 5)
000002D6  | 75: WAIT n+1 (val: 6)
000002D7  | 74: WAIT n+1 (val: 5)
000002D8  | 75: WAIT n+1 (val: 6)
000002D9  | 70: WAIT n+1 (val: 1)
000002DA  | 74: WAIT n+1 (val: 5)
000002DB  | 74: WAIT n+1 (val: 5)
000002DC  | 70: WAIT n+1 (val: 1)
000002DD  | 70: WAIT n+1 (val: 1)
000002DE  | 61: WAIT (val: 543)
000002E1  | 74: WAIT n+1 (val: 5)
000002E2  | 75: WAIT n+1 (val: 6)
000002E3  | 75: WAIT n+1 (val: 6)
000002E4  | 71: WAIT n+1 (val: 2)
000002E5  | 61: WAIT (val: 565)
000002E8  | 74: WAIT n+1 (val: 5)
000002E9  | 74: WAIT n+1 (val: 5)
000002EA  | 74: WAIT n+1 (val: 5)
000002EB  | 71: WAIT n+1 (val: 2)
000002EC  | 61: WAIT (val: 567)
000002EF  | 76: WAIT n+1 (val: 7)
000002F0  | 74: WAIT n+1 (val: 5)
000002F1  | 75: WAIT n+1 (val: 6)
000002F2  | 74: WAIT n+1 (val: 5)
000002F3  | 75: WAIT n+1 (val: 6)
000002F4  | 70: WAIT n+1 (val: 1)
000002F5  | 73: WAIT n+1 (val: 4)
000002F6  | 75: WAIT n+1 (val: 6)
000002F7  | 70: WAIT n+1 (val: 1)
000002F8  | 70: WAIT n+1 (val: 1)
000002F9  | 61: WAIT (val: 543)
000002FC  | 74: WAIT n+1 (val: 5)
000002FD  | 74: WAIT n+1 (val: 5)
000002FE  | 74: WAIT n+1 (val: 5)
000002FF  | 70: WAIT n+1 (val: 1)
00000300  | 61: WAIT (val: 568)
00000303  | 74: WAIT n+1 (val: 5)
00000304  | 75: WAIT n+1 (val: 6)
00000305  | 75: WAIT n+1 (val: 6)
00000306  | 71: WAIT n+1 (val: 2)
00000307  | 61: WAIT (val: 565)
0000030A  | 74: WAIT n+1 (val: 5)
0000030B  | 74: WAIT n+1 (val: 5)
0000030C  | 74: WAIT n+1 (val: 5)
0000030D  | 71: WAIT n+1 (val: 2)
0000030E  | 61: WAIT (val: 568)
00000311  | 75: WAIT n+1 (val: 6)
00000312  | 74: WAIT n+1 (val: 5)
00000313  | 76: WAIT n+1 (val: 7)
00000314  | 74: WAIT n+1 (val: 5)
00000315  | 74: WAIT n+1 (val: 5)
00000316  | 70: WAIT n+1 (val: 1)
00000317  | 74: WAIT n+1 (val: 5)
00000318  | 75: WAIT n+1 (val: 6)
00000319  | 70: WAIT n+1 (val: 1)
0000031A  | 61: WAIT (val: 543)
0000031D  | 74: WAIT n+1 (val: 5)
0000031E  | 74: WAIT n+1 (val: 5)
0000031F  | 74: WAIT n+1 (val: 5)
00000320  | 70: WAIT n+1 (val: 1)
00000321  | 61: WAIT (val: 568)
00000324  | 75: WAIT n+1 (val: 6)
00000325  | 75: WAIT n+1 (val: 6)
00000326  | 74: WAIT n+1 (val: 5)
00000327  | 71: WAIT n+1 (val: 2)
00000328  | 61: WAIT (val: 566)
0000032B  | 74: WAIT n+1 (val: 5)
0000032C  | 74: WAIT n+1 (val: 5)
0000032D  | 74: WAIT n+1 (val: 5)
0000032E  | 70: WAIT n+1 (val: 1)
0000032F  | 61: WAIT (val: 568)
00000332  | 77: WAIT n+1 (val: 8)
00000333  | 73: WAIT n+1 (val: 4)
00000334  | 77: WAIT n+1 (val: 8)
00000335  | 74: WAIT n+1 (val: 5)
00000336  | 75: WAIT n+1 (val: 6)
00000337  | 72: WAIT n+1 (val: 3)
00000338  | 74: WAIT n+1 (val: 5)
00000339  | 77: WAIT n+1 (val: 8)
0000033A  | 70: WAIT n+1 (val: 1)
0000033B  | 61: WAIT (val: 536)
0000033E  | 74: WAIT n+1 (val: 5)
0000033F  | 74: WAIT n+1 (val: 5)
00000340  | 74: WAIT n+1 (val: 5)
00000341  | 71: WAIT n+1 (val: 2)
00000342  | 61: WAIT (val: 568)
00000345  | 74: WAIT n+1 (val: 5)
00000346  | 75: WAIT n+1 (val: 6)
00000347  | 75: WAIT n+1 (val: 6)
00000348  | 71: WAIT n+1 (val: 2)
00000349  | 61: WAIT (val: 565)
0000034C  | 74: WAIT n+1 (val: 5)
0000034D  | 74: WAIT n+1 (val: 5)
0000034E  | 74: WAIT n+1 (val: 5)
0000034F  | 70: WAIT n+1 (val: 1)
00000350  | 61: WAIT (val: 568)
00000353  | 76: WAIT n+1 (val: 7)
00000354  | 74: WAIT n+1 (val: 5)
00000355  | 76: WAIT n+1 (val: 7)
00000356  | 74: WAIT n+1 (val: 5)
00000357  | 77: WAIT n+1 (val: 8)
00000358  | 74: WAIT n+1 (val: 5)
00000359  | 76: WAIT n+1 (val: 7)
0000035A  | 70: WAIT n+1 (val: 1)
0000035B  | 61: WAIT (val: 540)
0000035E  | 74: WAIT n+1 (val: 5)
0000035F  | 74: WAIT n+1 (val: 5)
00000360  | 74: WAIT n+1 (val: 5)
00000361  | 70: WAIT n+1 (val: 1)
00000362  | 61: WAIT (val: 568)
00000365  | 74: WAIT n+1 (val: 5)
00000366  | 75: WAIT n+1 (val: 6)
00000367  | 75: WAIT n+1 (val: 6)
00000368  | 71: WAIT n+1 (val: 2)
00000369  | 61: WAIT (val: 565)
0000036C  | 76: WAIT n+1 (val: 7)
0000036D  | 74: WAIT n+1 (val: 5)
0000036E  | 76: WAIT n+1 (val: 7)
0000036F  | 74: WAIT n+1 (val: 5)
00000370  | 76: WAIT n+1 (val: 7)
00000371  | 70: WAIT n+1 (val: 1)
00000372  | 74: WAIT n+1 (val: 5)
00000373  | 76: WAIT n+1 (val: 7)
00000374  | 70: WAIT n+1 (val: 1)
00000375  | 61: WAIT (val: 540)
00000378  | 74: WAIT n+1 (val: 5)
00000379  | 74: WAIT n+1 (val: 5)
0000037A  | 74: WAIT n+1 (val: 5)
0000037B  | 70: WAIT n+1 (val: 1)
0000037C  | 61: WAIT (val: 568)
0000037F  | 74: WAIT n+1 (val: 5)
00000380  | 75: WAIT n+1 (val: 6)
00000381  | 75: WAIT n+1 (val: 6)
00000382  | 71: WAIT n+1 (val: 2)
00000383  | 61: WAIT (val: 565)
00000386  | 74: WAIT n+1 (val: 5)
00000387  | 74: WAIT n+1 (val: 5)
00000388  | 74: WAIT n+1 (val: 5)
00000389  | 71: WAIT n+1 (val: 2)
0000038A  | 61: WAIT (val: 568)
0000038D  | 75: WAIT n+1 (val: 6)
0000038E  | 74: WAIT n+1 (val: 5)
0000038F  | 76: WAIT n+1 (val: 7)
00000390  | 74: WAIT n+1 (val: 5)
00000391  | 77: WAIT n+1 (val: 8)
00000392  | 74: WAIT n+1 (val: 5)
00000393  | 73: WAIT n+1 (val: 4)
00000394  | 61: WAIT (val: 544)
00000397  | 74: WAIT n+1 (val: 5)
00000398  | 74: WAIT n+1 (val: 5)
00000399  | 74: WAIT n+1 (val: 5)
0000039A  | 70: WAIT n+1 (val: 1)
0000039B  | 61: WAIT (val: 568)
0000039E  | 75: WAIT n+1 (val: 6)
0000039F  | 74: WAIT n+1 (val: 5)
000003A0  | 75: WAIT n+1 (val: 6)
000003A1  | 71: WAIT n+1 (val: 2)
000003A2  | 61: WAIT (val: 566)
000003A5  | 74: WAIT n+1 (val: 5)
000003A6  | 74: WAIT n+1 (val: 5)
000003A7  | 73: WAIT n+1 (val: 4)
000003A8  | 71: WAIT n+1 (val: 2)
000003A9  | 61: WAIT (val: 568)
000003AC  | 76: WAIT n+1 (val: 7)
000003AD  | 73: WAIT n+1 (val: 4)
000003AE  | 76: WAIT n+1 (val: 7)
000003AF  | 74: WAIT n+1 (val: 5)
000003B0  | 77: WAIT n+1 (val: 8)
000003B1  | 70: WAIT n+1 (val: 1)
000003B2  | 73: WAIT n+1 (val: 4)
000003B3  | 76: WAIT n+1 (val: 7)
000003B4  | 70: WAIT n+1 (val: 1)
000003B5  | 70: WAIT n+1 (val: 1)
000003B6  | 61: WAIT (val: 539)
000003B9  | 74: WAIT n+1 (val: 5)
000003BA  | 74: WAIT n+1 (val: 5)
000003BB  | 74: WAIT n+1 (val: 5)
000003BC  | 71: WAIT n+1 (val: 2)
000003BD  | 61: WAIT (val: 568)
000003C0  | 74: WAIT n+1 (val: 5)
000003C1  | 75: WAIT n+1 (val: 6)
000003C2  | 74: WAIT n+1 (val: 5)
000003C3  | 71: WAIT n+1 (val: 2)
000003C4  | 61: WAIT (val: 566)
000003C7  | 74: WAIT n+1 (val: 5)
000003C8  | 74: WAIT n+1 (val: 5)
000003C9  | 74: WAIT n+1 (val: 5)
000003CA  | 70: WAIT n+1 (val: 1)
000003CB  | 61: WAIT (val: 568)
000003CE  | 76: WAIT n+1 (val: 7)
000003CF  | 74: WAIT n+1 (val: 5)
000003D0  | 76: WAIT n+1 (val: 7)
000003D1  | 74: WAIT n+1 (val: 5)
000003D2  | 76: WAIT n+1 (val: 7)
000003D3  | 70: WAIT n+1 (val: 1)
000003D4  | 74: WAIT n+1 (val: 5)
000003D5  | 73: WAIT n+1 (val: 4)
000003D6  | 61: WAIT (val: 544)
000003D9  | 73: WAIT n+1 (val: 4)
000003DA  | 74: WAIT n+1 (val: 5)
000003DB  | 74: WAIT n+1 (val: 5)
000003DC  | 71: WAIT n+1 (val: 2)
000003DD  | 61: WAIT (val: 568)
000003E0  | 74: WAIT n+1 (val: 5)
000003E1  | 75: WAIT n+1 (val: 6)
000003E2  | 75: WAIT n+1 (val: 6)
000003E3  | 70: WAIT n+1 (val: 1)
000003E4  | 61: WAIT (val: 566)
000003E7  | 74: WAIT n+1 (val: 5)
000003E8  | 74: WAIT n+1 (val: 5)
000003E9  | 74: WAIT n+1 (val: 5)
000003EA  | 70: WAIT n+1 (val: 1)
000003EB  | 61: WAIT (val: 568)
000003EE  | 77: WAIT n+1 (val: 8)
000003EF  | 74: WAIT n+1 (val: 5)
000003F0  | 77: WAIT n+1 (val: 8)
000003F1  | 74: WAIT n+1 (val: 5)
000003F2  | 77: WAIT n+1 (val: 8)
000003F3  | 74: WAIT n+1 (val: 5)
000003F4  | 76: WAIT n+1 (val: 7)
000003F5  | 70: WAIT n+1 (val: 1)
000003F6  | 61: WAIT (val: 538)
000003F9  | 74: WAIT n+1 (val: 5)
000003FA  | 74: WAIT n+1 (val: 5)
000003FB  | 74: WAIT n+1 (val: 5)
000003FC  | 70: WAIT n+1 (val: 1)
000003FD  | 61: WAIT (val: 568)
00000400  | 75: WAIT n+1 (val: 6)
00000401  | 74: WAIT n+1 (val: 5)
00000402  | 75: WAIT n+1 (val: 6)
00000403  | 71: WAIT n+1 (val: 2)
00000404  | 61: WAIT (val: 565)
00000407  | 75: WAIT n+1 (val: 6)
00000408  | 75: WAIT n+1 (val: 6)
00000409  | 74: WAIT n+1 (val: 5)
0000040A  | 71: WAIT n+1 (val: 2)
0000040B  | 61: WAIT (val: 566)
0000040E  | 74: WAIT n+1 (val: 5)
0000040F  | 74: WAIT n+1 (val: 5)
00000410  | 74: WAIT n+1 (val: 5)
00000411  | 70: WAIT n+1 (val: 1)
00000412  | 61: WAIT (val: 568)
00000415  | 74: WAIT n+1 (val: 5)
00000416  | 75: WAIT n+1 (val: 6)
00000417  | 75: WAIT n+1 (val: 6)
00000418  | 70: WAIT n+1 (val: 1)
00000419  | 61: WAIT (val: 566)
0000041C  | 74: WAIT n+1 (val: 5)
0000041D  | 74: WAIT n+1 (val: 5)
0000041E  | 74: WAIT n+1 (val: 5)
0000041F  | 70: WAIT n+1 (val: 1)
00000420  | 61: WAIT (val: 569)
00000423  | 74: WAIT n+1 (val: 5)
00000424  | 75: WAIT n+1 (val: 6)
00000425  | 74: WAIT n+1 (val: 5)
00000426  | 71: WAIT n+1 (val: 2)
00000427  | 61: WAIT (val: 566)
0000042A  | 74: WAIT n+1 (val: 5)
0000042B  | 74: WAIT n+1 (val: 5)
0000042C  | 74: WAIT n+1 (val: 5)
0000042D  | 70: WAIT n+1 (val: 1)
0000042E  | 61: WAIT (val: 568)
00000431  | 75: WAIT n+1 (val: 6)
00000432  | 74: WAIT n+1 (val: 5)
00000433  | 75: WAIT n+1 (val: 6)
00000434  | 71: WAIT n+1 (val: 2)
00000435  | 61: WAIT (val: 566)
00000438  | 73: WAIT n+1 (val: 4)
00000439  | 74: WAIT n+1 (val: 5)
0000043A  | 74: WAIT n+1 (val: 5)
0000043B  | 71: WAIT n+1 (val: 2)
0000043C  | 61: WAIT (val: 568)
0000043F  | 74: WAIT n+1 (val: 5)
00000440  | 75: WAIT n+1 (val: 6)
00000441  | 74: WAIT n+1 (val: 5)
00000442  | 71: WAIT n+1 (val: 2)
00000443  | 61: WAIT (val: 566)
00000446  | 74: WAIT n+1 (val: 5)
00000447  | 74: WAIT n+1 (val: 5)
00000448  | 74: WAIT n+1 (val: 5)
00000449  | 70: WAIT n+1 (val: 1)
0000044A  | 61: WAIT (val: 569)
0000044D  | 74: WAIT n+1 (val: 5)
0000044E  | 75: WAIT n+1 (val: 6)
0000044F  | 74: WAIT n+1 (val: 5)
00000450  | 71: WAIT n+1 (val: 2)
00000451  | 61: WAIT (val: 566)
00000454  | 74: WAIT n+1 (val: 5)
00000455  | 74: WAIT n+1 (val: 5)
00000456  | 73: WAIT n+1 (val: 4)
00000457  | 71: WAIT n+1 (val: 2)
00000458  | 61: WAIT (val: 568)
0000045B  | 75: WAIT n+1 (val: 6)
0000045C  | 74: WAIT n+1 (val: 5)
0000045D  | 75: WAIT n+1 (val: 6)
0000045E  | 70: WAIT n+1 (val: 1)
0000045F  | 61: WAIT (val: 566)
00000462  | 74: WAIT n+1 (val: 5)
00000463  | 74: WAIT n+1 (val: 5)
00000464  | 74: WAIT n+1 (val: 5)
00000465  | 70: WAIT n+1 (val: 1)
00000466  | 61: WAIT (val: 569)
